,company_name,ticker,exchange,share_price,shares_offered,dollar_value_of_shares,date_of_priced,href,employees,shares_outstanding,stock_valuation,company_address,phone
12,GLOBE SPECIALTY METALS INC,GSM,Nasdaq National Market,7.0,"14,000,000","$98,000,000",2009-07-30,/market-activity/ipos/overview?dealId=728726-58967,1074,"72,544,254",507809778.0,"600 BRICKELL AVE., SUITE 3100   MIAMI FL 33131",786-509-6900
13,CDC Software CORP,CDCS,Nasdaq National Market,12.0,"4,800,000","$57,600,000",2009-08-06,/market-activity/ipos/overview?dealId=808556-61553,1284,"4,800,000",57600000.0,11/F ING TOWER 308 DES VOEUX ROAD CENTRAL  HONG KONG  00000,011-852-2893-8200
14,Avago Technologies LTD,AVGO,Nasdaq National Market,15.0,"43,200,000","$648,000,000",2009-08-06,/market-activity/ipos/overview?dealId=786169-59170,3400,"235,888,203",3538323045.0,1 YISHUN AVENUE 7   SINGAPORE  768923,65-6755-7888
15,CUMBERLAND PHARMACEUTICALS INC,CPIX,Nasdaq National Market,17.0,"5,000,000","$85,000,000",2009-08-11,/market-activity/ipos/overview?dealId=109945-54387,59,"17,091,191",290550247.0,"2525 WEST END AVENUE SUITE 950  NASHVILLE, TN 37203",615-255-0068
16,"Change Healthcare Holdings, Inc.",EM,New York Stock Exchange,15.5,"23,700,000","$367,350,000",2009-08-12,/market-activity/ipos/overview?dealId=787529-59298,2200,"88,487,776",1371560528.0,3055 LEBANON PIKE SUITE 1000  NASHVILLE TN 37214,615-932-3000
17,LIHUA INTERNATIONAL INC.,LIWA,Nasdaq National Market,4.0,"2,300,000","$9,200,000",2009-09-04,/market-activity/ipos/overview?dealId=744042-61219,290,"23,791,706",95166824.0,"C/O LIHUA HOLDINGS LIMITED HOUXIANG FIVE STAR INDUSTRY DISTRICT  DANYANG CITY, JIANGSU PROVINCE  212312",86 51 86317399
18,"Tri-Tech Holding, Inc.",TRIT,Nasdaq SmallCap Market,6.75,"1,700,000","$11,475,000",2009-09-10,/market-activity/ipos/overview?dealId=802207-60740,108,"5,525,500",37297125.0,"#1205 TOWER B, HAIDIAN CULTURAL AND ARTS JIA 28 ZHONGGUANCUN ST.  HAIDIAN DISTRICT, BEIJING  100086",(86-10) 5985-6386
19,Artio Global Investors Inc.,ART,New York Stock Exchange,26.0,"25,000,000","$650,000,000",2009-09-24,/market-activity/ipos/overview?dealId=770282-57665,198,"25,006,924",650180024.0,330 MADISON AVENUE   NEW YORK NY 10017,212-297-3600
20,"B456 SYSTEMS, INC.",AONE,Nasdaq National Market,13.5,"28,180,501","$380,436,764",2009-09-24,/market-activity/ipos/overview?dealId=97902-59078,1672,"98,180,520",1325437020.0,200 WEST STREET   WALTHAM MA 02451,6177785700
21,"Vitacost.com, Inc.",VITC,Nasdaq National Market,12.0,"11,000,000","$132,000,000",2009-09-24,/market-activity/ipos/overview?dealId=747978-55048,266,"27,488,352",329860224.0,5400 BROKEN SOUND BLVD NW SUITE 500  BOCA RATON FL 33487-3521,(561) 982-4180
22,Shanda Games Ltd,GAME,Nasdaq National Market,12.5,"83,500,000","$1,043,750,000",2009-09-25,/market-activity/ipos/overview?dealId=811286-61963,1604,"83,500,000",1043750000.0,"NO. 1 OFFICE BUILDING, NO. 690 BIBO ROAD PUDONG NEW AREA  SHANGHAI  201203",(86-21)5050-4740
23,SELECT MEDICAL HOLDINGS CORP,SEM,New York Stock Exchange,10.0,"30,000,000","$300,000,000",2009-09-25,/market-activity/ipos/overview?dealId=667059-58969,21700,"156,092,873",1560928730.0,C/O SELECT MEDICAL CORP 4714 GETTYSBURG RD  MECHANICSBURG PA 17055,717-972-1100
24,Talecris Biotherapeutics Holdings Corp.,TLCR,Nasdaq National Market,19.0,"50,000,000","$950,000,000",2009-10-01,/market-activity/ipos/overview?dealId=752460-55534,4763,"119,783,652",2275889388.0,4101 RESEARCH COMMONS 79 T.W. ALEXANDER DRIVE  RESEARCH TRIANGLE PARK NC 27709,919-316-6300
25,"Echo Global Logistics, Inc.",ECHO,Nasdaq National Market,14.0,"5,700,000","$79,800,000",2009-10-02,/market-activity/ipos/overview?dealId=777083-58222,553,"21,493,655",300911170.0,600 WEST CHICAGO AVENUE SUITE 725  CHICAGO IL 60654,1-800-354-7993
26,EDUCATION MANAGEMENT Corp,EDMC,Nasdaq National Market,18.0,"20,000,000","$360,000,000",2009-10-02,/market-activity/ipos/overview?dealId=5057-57174,13400,"139,770,277",2515864986.0,210 SIXTH AVENUE 33RD FLOOR  PITTSBURGH PA 15222,4125620900
27,"Verisk Analytics, Inc.",VRSK,Nasdaq National Market,22.0,"85,250,000","$1,875,500,000",2009-10-07,/market-activity/ipos/overview?dealId=785278-59119,3731,"113,076,100",2487674200.0,545 WASHINGTON BOULEVARD   JERSEY CITY NJ 07310-1686,201-469-2000
28,Banco Santander (Brasil) S.A.,BSBR,New York Stock Exchange,13.4033,"525,000,000","$7,035,000,000",2009-10-07,/market-activity/ipos/overview?dealId=811264-61961,52252,"210,864,171,114",2826275744692.2764,"AV. JUSCELINO KUBITSCHEK, 2235 AV. JUSCELINO KUBITSCHEK, 2041  SAO PAULO, SP  04543-011",(55 11) 3174-8589
29,OMEROS CORP,OMER,Nasdaq National Market,10.0,"6,820,000","$68,200,000",2009-10-08,/market-activity/ipos/overview?dealId=629740-57346,62,"21,287,580",212875800.0,201 ELLIOTT AVENUE WEST   SEATTLE WA 98119,206-676-5000
30,"Mistras Group, Inc.",MG,New York Stock Exchange,12.5,"8,700,000","$108,750,000",2009-10-08,/market-activity/ipos/overview?dealId=780483-58603,2000,"26,458,778",330734725.0,195 CLARKSVILLE ROAD   PRINCETON JUNCTION NJ 08550,609-716-4000
31,RAILAMERICA INC /DE,RA,New York Stock Exchange,15.0,"22,000,000","$330,000,000",2009-10-13,/market-activity/ipos/overview?dealId=3442-61640,1588,"54,346,930",815203950.0,7411FULLERTON STREET SUITE 300  JACKSONVILLE FL 32256,800-342-1131
32,China Real Estate Information Corp,CRIC,Nasdaq National Market,12.0,"18,000,000","$216,000,000",2009-10-16,/market-activity/ipos/overview?dealId=812805-62189,1234,"92,555,555",1110666660.0,NO.383 GUANGYAN ROAD   SHANGHAI  200072,(86-21) 6086-8099
33,PENN MILLERS HOLDING CORP,PMIC,Nasdaq National Market,10.0,"6,772,221","$67,722,210",2009-10-19,/market-activity/ipos/overview?dealId=796436-60219,111,"6,772,221",67722210.0,72 NORTH FRANKLIN STREET PO BOX P  WILKES-BARRE PA 18773-0016,8008228111
34,"ZST Digital Networks, Inc.",ZSTN,Nasdaq National Market,8.0,"3,125,000","$25,000,000",2009-10-20,/market-activity/ipos/overview?dealId=749091-61426,78,"11,479,826",91838608.0,"206 TONGBO STREET BOYAXICHENG, 2ND FLOOR  ZHENGZHOU, HENAN PROVINCE  450007",(86) 371-6771-6850
35,"AGA Medical Holdings, Inc.",AGAM,Nasdaq National Market,14.5,"13,750,000","$199,375,000",2009-10-21,/market-activity/ipos/overview?dealId=781274-58694,470,"50,025,520",725370040.0,5050 NATHAN LANE N   PLYMOUTH MN 55442,763-513-9227
36,DOLE FOOD CO INC,DOLE,New York Stock Exchange,12.5,"35,715,000","$446,437,500",2009-10-23,/market-activity/ipos/overview?dealId=11988-61809,40900,"87,425,000",1092812500.0,ONE DOLE DRIVE   WESTLAKE VILLAGE CA 91362,8188796600
37,Addus HomeCare Corp,ADUS,Nasdaq National Market,10.0,"5,400,000","$54,000,000",2009-10-28,/market-activity/ipos/overview?dealId=808693-61565,12578,"10,496,251",104962510.0,6303 COWBOYS WAY SUITE 600  FRISCO TX 75034,469-535-8200
38,"Vitamin Shoppe, Inc.",VSI,New York Stock Exchange,17.0,"9,096,077","$154,633,309",2009-10-28,/market-activity/ipos/overview?dealId=711886-61612,3114,"26,572,276",451728692.0,THE VITAMIN SHOPPE 300 HARMON MEADOW BLVD.  SECAUCUS NJ 07094,2018685959
39,Ancestry.com Inc.,ACOM,Nasdaq National Market,13.5,"7,407,407","$99,999,995",2009-11-05,/market-activity/ipos/overview?dealId=809494-61677,700,"42,402,916",572439366.0,360 WEST 4800 NORTH   PROVO UT 84604,801-705-7000
40,Hyatt Hotels Corp,H,New York Stock Exchange,25.0,"38,000,000","$950,000,000",2009-11-05,/market-activity/ipos/overview?dealId=809680-61714,45000,"38,034,407",950860175.0,150 NORTH RIVERSIDE PLAZA 8TH FLOOR  CHICAGO IL 60606,(312) 750-1234
41,"STR HOLDINGS, INC.",STRI,New York Stock Exchange,10.0,"12,300,000","$123,000,000",2009-11-06,/market-activity/ipos/overview?dealId=813353-62269,2100,"41,349,710",413497100.0,10 WATER STREET   ENFIELD CT 06082,860 272 4235
42,"DUOYUAN PRINTING, INC.",DYP,New York Stock Exchange,8.5,"6,455,918","$54,875,303",2009-11-06,/market-activity/ipos/overview?dealId=66956-62012,1339,"31,375,050",266687925.0,NO. 3 JINYUAN ROAD DAXING INDUSTRIAL DEVELOPMENT ZONE  BEIJING  102600,760-219-2776
43,DOLLAR GENERAL CORP,DG,New York Stock Exchange,21.0,"34,100,000","$716,100,000",2009-11-13,/market-activity/ipos/overview?dealId=1605-61859,77200,"340,644,825",7153541325.0,100 MISSION RIDGE   GOODLETTSVILLE TN 37072,6158554000
44,"rue21, inc.",RUE,Nasdaq National Market,19.0,"6,765,437","$128,543,303",2009-11-13,/market-activity/ipos/overview?dealId=811633-62031,5833,"24,160,662",459052578.0,"800 COMMONWEALTH DRIVE, SUITE 100   WARRENDALE PA 15086",724-776-9780
45,"Fortinet, Inc.",FTNT,Nasdaq National Market,12.5,"12,500,000","$156,250,000",2009-11-18,/market-activity/ipos/overview?dealId=592969-61740,1196,"64,393,969",804924612.5,899 KIFER ROAD   SUNNYVALE CA 94086,408-235-7700
46,"Archipelago Learning, Inc.",ARCL,Nasdaq National Market,16.5,"6,250,000","$103,125,000",2009-11-20,/market-activity/ipos/overview?dealId=811298-61966,233,"25,106,719",414260863.5,3232 MCKINNEY AVENUE SUITE 400  DALLAS TX 75204,800 419-3191
47,"SOTERA DEFENSE SOLUTIONS, INC.",GTEC,Nasdaq National Market,13.0,"4,600,000","$59,800,000",2009-11-20,/market-activity/ipos/overview?dealId=811299-61969,680,"9,036,432",117473616.0,1501 FARM CREDIT DRIVE SUITE 2300  MCLEAN VA 22102-5011,703-738-2840
48,7 Days Group Holdings LTD,SVN,New York Stock Exchange,11.0,"10,100,000","$111,100,000",2009-11-20,/market-activity/ipos/overview?dealId=814839-62470,7588,"146,341,114",1609752254.0,"10 F, 705 GUANGZHOU DA DAO NAN ROAD  GUANGZHOU  510290",86-20-89226577
49,CLOUD PEAK ENERGY INC.,CLD,New York Stock Exchange,15.0,"30,600,000","$459,000,000",2009-11-20,/market-activity/ipos/overview?dealId=784927-61784,1491,"31,502,000",472530000.0,748 T-7 ROAD   GILLETTE WY 82718,307-687-6000
50,"Cellu Tissue Holdings, Inc.",CLU,New York Stock Exchange,13.0,"8,300,000","$107,900,000",2010-01-22,/market-activity/ipos/overview?dealId=648615-62353,1160,"20,122,971",261598623.0,3442 FRANCIS ROAD SUITE 220  ALPHARETTA GA 30004,(678)393-2651
51,Symetra Financial CORP,SYA,New York Stock Exchange,12.0,"30,400,000","$364,800,000",2010-01-22,/market-activity/ipos/overview?dealId=749215-62247,1100,"113,428,965",1361147580.0,777 108TH AVENUE NE SUITE 1200  BELLEVUE WA 98004-5135,425-256-8000
52,China Hydroelectric Corp,CHC,New York Stock Exchange,16.0,"6,000,000","$96,000,000",2010-01-25,/market-activity/ipos/overview?dealId=817076-62817,336,"149,744,181",2395906896.0,420 LEXINGTON AVENUE SUITE 860  NEW YORK NY 10170,646-467-9800
53,Andatee China Marine Fuel Services Corp,AMCF,Nasdaq National Market,6.3,"3,134,921","$19,750,002",2010-01-26,/market-activity/ipos/overview?dealId=810870-61911,128,"9,134,921",57550002.3,NO. 68 BINHAI RD DALIAN XIGANG DISTRICT DALIAN INT'L FINANCE CONF CENTER C VILLA  XIGANG DISTRICT DALIAN  116013,041183688618
54,IFM Investments Ltd,CTC,New York Stock Exchange,7.0,"12,487,500","$87,412,500",2010-01-28,/market-activity/ipos/overview?dealId=818638-63053,4654,"605,651,839",4239562873.0,"9/A5, EAST WING, HANWEI PLAZA NO.7 GUANGHUA ROAD, CHAOYANG DISTRICT  BEIJING  100004",86-10-65617788
55,"CHINA ELECTRIC MOTOR, INC.",CELM,Nasdaq National Market,4.5,"5,000,000","$22,500,000",2010-01-29,/market-activity/ipos/overview?dealId=767729-62318,920,"19,367,873",87155428.5,"SUNNA MOTOR INDUSTRY PARK, JIAN'AN FUYONG HI-TECH PARK, BAOAN DISTRICT  SHENZHEN GUANGDONG  00000",86-0755-8149969
56,Anthera Pharmaceuticals Inc,ANTH,Nasdaq National Market,7.0,"6,000,000","$42,000,000",2010-03-01,/market-activity/ipos/overview?dealId=662796-62065,14,"21,587,023",151109161.0,"25801 INDUSTRIAL BOULEVARD, SUITE B   HAYWARD CA 94545",(510) 856-5600
57,Sensata Technologies Holding plc,ST,New York Stock Exchange,18.0,"31,600,000","$568,800,000",2010-03-11,/market-activity/ipos/overview?dealId=816487-62697,9500,"171,159,377",3080868786.0,"INTERFACE HOUSE, INTERFACE BUSINESS PARK BINCKNOLL LANE, ROYAL WOOTTON BASSETT  SWINDON  SN4 8SY",508-236-3800
58,"AVEO PHARMACEUTICALS, INC.",AVEO,Nasdaq National Market,9.0,"9,000,000","$81,000,000",2010-03-12,/market-activity/ipos/overview?dealId=672770-62887,133,"29,644,831",266803479.0,30 WINTER STREET   BOSTON MA 02108,857-400-0101
59,"Financial Engines, LLC",FNGN,Nasdaq National Market,12.0,"10,600,000","$127,200,000",2010-03-16,/market-activity/ipos/overview?dealId=817169-62828,264,"39,505,577",474066924.0,"1050 ENTERPRISE WAY, 3RD FL   SUNNYVALE CA 94089",408-498-6000
60,"CALIX, INC",CALX,New York Stock Exchange,13.0,"6,328,932","$82,276,116",2010-03-24,/market-activity/ipos/overview?dealId=750845-62665,407,"36,297,532",471867916.0,2777 ORCHARD PARKWAY   SAN JOSE CA 95134,408-514-3000
61,MAXLINEAR INC,MXL,New York Stock Exchange,14.0,"6,444,100","$90,217,400",2010-03-24,/market-activity/ipos/overview?dealId=632487-62514,177,"6,444,100",90217400.0,5966 LA PLACE CT.   CARLSBAD CA 92008,760-692-0711
62,FIRST INTERSTATE BANCSYSTEM INC,FIBK,Nasdaq National Market,14.5,"10,000,000","$145,000,000",2010-03-24,/market-activity/ipos/overview?dealId=30498-63137,1730,"10,000,000",145000000.0,P O BOX 30918 401 NO 31ST STREET  BILLINGS MT 59116-0918,4062555300
63,Huazhu Group Ltd,HTHT,Nasdaq National Market,12.25,"9,000,000","$110,250,000",2010-03-26,/market-activity/ipos/overview?dealId=823166-63493,6181,"235,618,079",2886321467.75,NO. 699 WUZHONG ROAD MINHANG DISTRICT  SHANGHAI 201103  -,(86) 21 6195-2011
64,MERU NETWORKS INC,MERU,Nasdaq National Market,15.0,"4,386,784","$65,801,760",2010-03-31,/market-activity/ipos/overview?dealId=97877-62919,242,"14,898,185",223472775.0,894 ROSS DRIVE   SUNNYVALE CA 94089,(408) 215-5300
65,SS&C Technologies Holdings Inc,SSNC,Nasdaq National Market,15.0,"10,725,000","$160,875,000",2010-03-31,/market-activity/ipos/overview?dealId=747205-63008,1253,"69,191,228",1037868420.0,80 LAMBERTON RD .  WINDSOR CT 06095,860-298-4500
66,"Primerica, Inc.",PRI,New York Stock Exchange,15.0,"21,360,000","$320,400,000",2010-04-01,/market-activity/ipos/overview?dealId=815167-62504,1995,"75,000,000",1125000000.0,1 PRIMERICA PARKWAY   DULUTH GA 30099,7703811000
67,TENGION INC,TNGN,Nasdaq National Market,5.0,"6,000,000","$30,000,000",2010-04-09,/market-activity/ipos/overview?dealId=642106-62988,65,"12,353,536",61767680.0,3929 WESTPOINT BLVD. SUITE G  WINSTON-SALEM NC 27103,336-722-5855
68,METALS USA HOLDINGS CORP.,MUSA,New York Stock Exchange,21.0,"11,426,315","$239,952,615",2010-04-09,/market-activity/ipos/overview?dealId=710185-58410,1700,"37,024,842",777521682.0,2400 E COMMERCIAL BLVD. SUITE 905  FORT LAUDERDALE FL 33308,954-202-4000
69,R1 RCM INC.,AH,New York Stock Exchange,12.0,"10,000,000","$120,000,000",2010-04-20,/market-activity/ipos/overview?dealId=812727-62176,1802,"90,015,707",1080188484.0,401 NORTH MICHIGAN AVENUE SUITE 2700  CHICAGO IL 60611,312-324-7820
70,ReachLocal Inc,RLOC,Nasdaq National Market,13.0,"4,166,667","$54,166,671",2010-04-20,/market-activity/ipos/overview?dealId=643264-62938,866,"27,138,285",352797705.0,"21700 OXNARD STREET, SUITE 1600   WOODLAND HILLS CA 91367",8189369906
71,DynaVox Inc.,DVOX,Nasdaq National Market,15.0,"9,375,000","$140,625,000",2010-04-22,/market-activity/ipos/overview?dealId=818639-63055,381,"9,375,000",140625000.0,2100 WHARTON STREET SUITE 400  PITTSBURGH PA 15203,(412) 381-4883
72,SPS COMMERCE INC,SPSC,Nasdaq National Market,12.0,"4,096,694","$49,160,328",2010-04-22,/market-activity/ipos/overview?dealId=159725-62788,292,"10,920,939",131051268.0,333 SOUTH SEVENTH STREET SUITE 1000  MINNEAPOLIS MN 55402,612-435-9400
73,MusclePharm Corp,TTWZ,OTCBB,0.12,"16,654,238","$1,998,509",2010-04-22,/market-activity/ipos/overview?dealId=761194-56640,15,"42,737,438",5128492.56,4721 IRONTON STREET   DENVER CO 80239,(800) 210-7369
74,Global Geophysical Services Inc,GGS,New York Stock Exchange,12.0,"7,500,000","$90,000,000",2010-04-22,/market-activity/ipos/overview?dealId=657832-62351,818,"35,877,570",430530840.0,13927 SOUTH GESSNER   MISSOURI CITY TX 77489,713-972-9200
75,MITEL NETWORKS CORP,MITL,Nasdaq National Market,14.0,"10,526,316","$147,368,424",2010-04-22,/market-activity/ipos/overview?dealId=106107-62946,2353,"52,803,159",739244226.0,350 LEGGET DRIVE   KANATA ONTARIO CANADA K2K 2W7  00000,6135922122
76,"CODEXIS, INC.",CDXS,Nasdaq National Market,13.0,"6,000,000","$78,000,000",2010-04-22,/market-activity/ipos/overview?dealId=383247-63009,290,"33,977,068",441701884.0,200 PENOBSCOT DRIVE   REDWOOD CITY CA 94063,650-421-8100
77,ALIMERA SCIENCES INC,ALIM,Nasdaq National Market,11.0,"6,550,000","$72,050,000",2010-04-22,/market-activity/ipos/overview?dealId=600840-62462,21,"31,051,055",341561605.0,6120 WINDWARD PARKWAY STE 290  ALPHARETTA GA 30005,6789905740
78,Lianluo Smart Ltd,DHRM,Nasdaq SmallCap Market,8.0,"1,500,000","$12,000,000",2010-04-22,/market-activity/ipos/overview?dealId=815490-62552,155,"4,500,000",36000000.0,"RM 2108, 21ST FL, NO. 20 SHIJINGSHAN RD CHINA RAILWAY CONSTRUCTION BUILDING  SHIJINGSHAN DISTRICT, BEIJING  100040",(8610)8860-9850
79,"Excel Trust, Inc.",EXL,New York Stock Exchange,14.0,"15,000,000","$210,000,000",2010-04-23,/market-activity/ipos/overview?dealId=818190-63002,20,"15,604,935",218469090.0,"17140 BERNARDO CENTER DRIVE, SUITE 300   SAN DIEGO CA 92128",858-613-1800
80,"Convio, Inc.",CNVO,Nasdaq National Market,9.0,"5,132,728","$46,194,552",2010-04-29,/market-activity/ipos/overview?dealId=755547-63195,349,"16,505,470",148549230.0,11501 DOMAIN DRIVE SUITE 200  AUSTIN TX 78758,512-652-2600
81,ALPHA & OMEGA SEMICONDUCTOR Ltd,AOSL,Nasdaq National Market,18.0,"5,085,985","$91,547,730",2010-04-29,/market-activity/ipos/overview?dealId=732422-63753,855,"22,087,485",397574730.0,475 OAKMEAD PARKWAY   SUNNYVALE CA 94085,408-830-9742
82,Charm Communications Inc.,CHRM,Nasdaq National Market,9.5,"7,812,500","$74,218,750",2010-05-05,/market-activity/ipos/overview?dealId=825664-63850,310,"15,625,000",148437500.0,"26/F, TOWER A, ORIENTAL MEDIA TOWER 4 GUANGHUA ROAD, CHAOYANG DISTRICT  BEIJING  100026",(86) 10-6581-1111
83,"DOUGLAS DYNAMICS, INC",PLOW,New York Stock Exchange,11.25,"10,000,000","$112,500,000",2010-05-05,/market-activity/ipos/overview?dealId=631367-63238,562,"21,256,253",239132846.25,7777 NORTH 73RD ST   MILWAUKEE WI 53233,414-362-3940
84,Niska Gas Storage Partners LLC,NKA,New York Stock Exchange,20.5,"17,500,000","$358,750,000",2010-05-12,/market-activity/ipos/overview?dealId=821926-63408,126,"33,804,745",692997272.5,170 RADNOR CHESTER ROAD SUITE 170  RADNOR PA 19087,(484) 367-7432
85,"TeleNav, Inc.",TNAV,Nasdaq National Market,8.0,"7,000,000","$56,000,000",2010-05-13,/market-activity/ipos/overview?dealId=814743-62458,878,"41,083,150",328665200.0,4655 GREAT AMERICA PARKWAY SUITE 300  SANTA CLARA CA 95054,(408) 245-3800
86,"EXPRESS, INC.",EXPR,New York Stock Exchange,17.0,"16,000,000","$272,000,000",2010-05-13,/market-activity/ipos/overview?dealId=821458-63364,17000,"88,735,895",1508510215.0,1 EXPRESS DRIVE   COLUMBUS OH 43230,614-474-4001
87,"Roadrunner Transportation Systems, Inc.",RRTS,New York Stock Exchange,14.0,"10,600,644","$148,409,016",2010-05-13,/market-activity/ipos/overview?dealId=783787-58963,925,"29,542,563",413595882.0,4900 S. PENNSYLVANIA AVENUE   CUDAHY WI 53110,414-615-1500
88,Luokung Technology Corp.,KONE,Nasdaq SmallCap Market,4.0,"4,000,000","$16,000,000",2010-05-14,/market-activity/ipos/overview?dealId=825909-63879,112,"14,000,000",56000000.0,"LAB 32, SOHO 3Q, NO 9, GUANGHUA ROAD CHAOYANG DISTRICT  BEIJING  100020",(86) 29-88266368
89,Noranda Aluminum Holding CORP,NOR,New York Stock Exchange,8.0,"10,000,000","$80,000,000",2010-05-14,/market-activity/ipos/overview?dealId=769203-58315,2700,"53,788,232",430305856.0,801 CRESCENT DRIVE SUITE 600  FRANKLIN TN 37067,615-771-5700
90,"JinkoSolar Holding Co., Ltd.",JKS,New York Stock Exchange,11.0,"5,835,000","$64,185,000",2010-05-14,/market-activity/ipos/overview?dealId=819660-63161,2640,"86,927,850",956206350.0,1 JINGKE ROAD SHANGRAO ECONOMIC DEVELOPMENT ZONE  JIANGXI PROVINCE  334100,(86-793)846-9699
91,"GenMark Diagnostics, Inc.",GNMK,Nasdaq National Market,6.0,"4,600,000","$27,600,000",2010-05-28,/market-activity/ipos/overview?dealId=824263-63652,63,"11,723,512",70341072.0,5964 LA PLACE COURT   CARLSBAD CA 92008,(760) 448-4300
92,GHN Agrispan Holding Co,GHNA,OTCBB,0.05,"850,000","$42,500",2010-06-03,/market-activity/ipos/overview?dealId=813737-62330,288,"40,520,000",2026000.0,5348 VEGAS DRIVE   LAS VEGAS NV 89108,323-333-1831
93,CHINA NEW BORUN Corp,BORN,New York Stock Exchange,7.0,"5,725,000","$40,075,000",2010-06-11,/market-activity/ipos/overview?dealId=826751-63980,862,"25,725,000",180075000.0,"BOHAI INDUSTRIAL PARK YANGKOU TOWN  SHOUGUANG, SHANDONG  262715",86 536 545 1199
94,"Cboe Global Markets, Inc.",CBOE,Nasdaq National Market,29.0,"11,700,000","$339,300,000",2010-06-15,/market-activity/ipos/overview?dealId=733051-63582,597,"13,917,911",403619419.0,400 SOUTH LASALLE   CHICAGO IL 60605,312 786 7200
95,"BROADSOFT, INC.",BSFT,Nasdaq National Market,9.0,"7,500,000","$67,500,000",2010-06-16,/market-activity/ipos/overview?dealId=112846-63617,340,"24,717,719",222459471.0,9737 WASHINGTONIAN BOULEVARD SUITE 350  GAITHERSBURG MD 20878,301-977-9440
96,Oasis Petroleum Inc.,OAS,New York Stock Exchange,14.0,"42,000,000","$588,000,000",2010-06-17,/market-activity/ipos/overview?dealId=823087-63482,35,"92,215,295",1291014130.0,1001 FANNIN STREET SUITE 1500  HOUSTON TX 77002,281-404-9500
97,"Higher One Holdings, Inc.",ONE,New York Stock Exchange,12.0,"9,000,000","$108,000,000",2010-06-17,/market-activity/ipos/overview?dealId=824579-63689,380,"55,071,499",660857988.0,115 MUNSON STREET   NEW HAVEN CT 06511,2037767776
