,company_name
118,WHITING PETROLEUM CORP
119,244
120,Teucrium Commodity Trust
121,247
122,Pacific Coast Oil Trust
123,259
124,"Rezolute, Inc."
125,262
126,Western Asset Mortgage Capital Corp
127,263
128,GLOBAL GREEN INC.
129,269
130,STREAM Exchange Traded Trust
131,270
132,"EQM Midstream Partners, LP"
133,272
134,"VAPORIN, INC."
135,277
136,Infinity Cross Border Acquisition Corp
137,281
138,Hyde Park Acquisition Corp. II
139,292
140,Hi-Crush Inc.
141,298
142,"ENDEAVOR IP, INC."
143,300
144,Sunoco LP
145,304
146,"Summit Midstream Partners, LP"
147,308
148,JAVELIN MORTGAGE INVESTMENT CORP.
149,309
150,"Pressburg, LLC"
151,321
152,Service Team Inc.
153,324
154,Seadrill Partners LLC
155,325
156,Collabrium Japan Acquisition Corp
157,326
158,CrossAmerica Partners LP
159,328
160,KBS Fashion Group Ltd
161,329
162,Nuveen Long/Short Commodity Total Return Fund
163,330
164,MPLX LP
165,331
166,"Western Midstream Partners, LP"
167,333
168,Chart Acquisition Corp.
169,336
170,Silver Bay Realty Trust Corp.
171,337
172,SPROTT PHYSICAL PLATINUM & PALLADIUM TRUST
173,338
174,"Urban Tea, Inc."
175,339
176,"Arch Therapeutics, Inc."
177,340
178,"SunCoke Energy Partners, L.P."
179,343
180,STEMLINE THERAPEUTICS INC
181,348
182,Gladstone Land Corp
183,349
184,Ready Capital Corp
185,356
186,New Source Energy Partners L.P.
187,357
188,Invesco CurrencyShares Singapore Dollar Trust
189,360
190,"Orchid Island Capital, Inc."
191,361
192,fuboTV Inc. /FL
193,365
194,KNOT Offshore Partners LP
195,367
196,"PRIVILEGED WORLD TRAVEL CLUB, INC."
197,371
198,Ellington Residential Mortgage REIT
199,380
200,CALIFORNIA GOLD CORP.
201,384
202,Emerge Energy Services LP
203,386
204,"LINDBLAD EXPEDITIONS HOLDINGS, INC."
205,394
206,"Tallgrass Energy Partners, LP"
207,396
208,Arcturus Therapeutics Ltd.
209,402
210,"Clearway Energy, Inc."
211,411
212,Physicians Realty Trust
213,417
214,PHILLIPS 66 PARTNERS LP
215,419
216,Silver Eagle Acquisition Corp.
217,428
218,"AZURE MIDSTREAM PARTNERS, LP"
219,430
220,Andeavor Midstream Partners LP
221,441
222,"World Point Terminals, LP"
223,442
224,"Jason Industries, Inc."
225,445
226,iSHARES COMMODITY OPTIMIZED TRUST
227,448
228,"INDEPENDENCE REALTY TRUST, INC."
229,449
230,SOPHIRIS BIO INC.
231,452
232,ROI Acquisition Corp. II
233,455
234,Evoke Pharma Inc
235,466
236,OCI Partners LP
237,480
238,Cherry Hill Mortgage Investment Corp
239,481
240,"Western Refining Logistics, LP"
241,487
242,PLAINS GP HOLDINGS LP
243,489
244,"STG Group, Inc."
245,494
246,Quartet Merger Corp.
247,499
248,"Surgical Care Affiliates, Inc."
249,503
250,Blue Capital Reinsurance Holdings Ltd.
251,509
252,"Midcoast Energy Partners, L.P."
253,517
254,Dynagas LNG Partners LP
255,524
256,"Del Taco Restaurants, Inc."
257,527
258,VALERO ENERGY PARTNERS LP
259,541
260,"Kindred Biosciences, Inc."
261,544
262,ENETI INC.
263,545
264,"CatchMark Timber Trust, Inc."
265,547
266,"Cheniere Energy Partners LP Holdings, LLC"
267,549
268,ABILITY INC
269,552
270,"Nexeo Solutions, Inc."
271,556
272,HERMITAGE OFFSHORE SERVICES LTD.
273,558
274,Atlantica Sustainable Infrastructure plc
275,562
276,Foresight Energy LP
277,565
278,Viper Energy Partners LP
279,567
280,Garnero Group Acquisition Co
281,583
282,"NEXTERA ENERGY PARTNERS, LP"
283,586
284,"Minerva Neurosciences, Inc."
285,587
286,"Limbach Holdings, Inc."
287,592
288,YATRA USA CORP.
289,595
290,"TerraForm Power NY Holdings, Inc."
291,600
292,Westlake Chemical Partners LP
293,613
294,Transocean Partners LLC
295,617
296,Enlivex Therapeutics Ltd.
297,618
298,MARINUS PHARMACEUTICALS INC
299,619
300,"Loxo Oncology, Inc."
301,622
302,VTTI Energy Partners LP
303,625
304,Hoegh LNG Partners LP
305,627
306,SINO MERCURY ACQUISITION CORP.
307,635
308,"IFAN FINANCIAL, INC."
309,638
310,CNX Midstream Partners LP
311,652
312,Antero Midstream Partners LP
313,655
314,SOLENO THERAPEUTICS INC
315,665
316,Navios Maritime Midstream Partners LP
317,666
318,Landmark Infrastructure Partners LP
319,671
320,Origo Acquisition Corp
321,688
322,Rice Midstream Partners LP
323,695
324,"H-CYTE, INC."
325,697
326,BARINGTON/HILCO ACQUISITION CORP.
327,700
328,Columbia Pipeline Partners LP
329,702
330,Great Ajax Corp.
331,706
332,CardConnect Corp.
333,708
334,EYEGATE PHARMACEUTICALS INC
335,709
336,"ROCKET PHARMACEUTICALS, INC."
337,710
338,ETF Managers Group Commodity Trust I
339,711
340,WisdomTree Coal Fund
341,713
342,Indoor Harvest Corp
343,714
344,NextDecade Corp.
345,721
346,"Jernigan Capital, Inc."
347,725
348,"Viking Therapeutics, Inc."
349,739
350,"Enviva Partners, LP"
351,740
352,Atlantic Alliance Partnership Corp.
353,741
354,Arowana Inc.
355,743
356,"CoLucid Pharmaceuticals, Inc."
357,746
358,"Tallgrass Energy, LP"
359,750
360,"EQGP Holdings, LP"
361,754
362,Fortress Transportation & Infrastructure Investors LLC
363,758
364,Code Rebel Corp
365,760
366,"Rimini Street, Inc."
367,762
368,Community Healthcare Trust Inc
369,764
370,CONSOL Coal Resources LP
371,769
372,"Daseke, Inc."
373,781
374,Code Chain New Continent Ltd
375,784
376,Easterly Acquisition Corp.
377,786
378,"Purple Innovation, Inc."
379,787
380,"TERRAFORM GLOBAL, INC."
381,789
382,"Axsome Therapeutics, Inc."
383,804
384,PURPLE BIOTECH LTD.
385,805
386,"Moleculin Biotech, Inc."
387,807
388,Global Medical REIT Inc.
389,817
390,"Infrastructure & Energy Alternatives, Inc."
391,819
392,Conyers Park Acquisition Corp.
393,822
394,"NeuroBo Pharmaceuticals, Inc."
395,836
396,"Phunware, Inc."
397,841
398,"Priority Technology Holdings, Inc."
399,842
400,Noble Midstream Partners LP
401,843
402,Saban Capital Acquisition Corp.
403,846
404,Lord Global Corp
405,848
406,Motif Bio plc
407,864
408,Hunter Maritime Acquisition Corp.
409,865
410,INNOVATIVE INDUSTRIAL PROPERTIES INC
411,866
412,"Kimbell Royalty Partners, LP"
413,877
414,Sachem Capital Corp.
415,880
416,"U.S. WELL SERVICES, INC."
417,887
418,SciSparc Ltd./ADR
419,891
420,"Alta Mesa Resources, Inc. /DE"
421,893
422,Altus Midstream Co
423,895
424,Hess Midstream Operations LP
425,896
426,"ConvergeOne Holdings, Inc."
427,900
428,Vantage Energy Acquisition Corp.
429,901
430,Federal Street Acquisition Corp.
431,919
432,"TPG RE Finance Trust, Inc."
433,920
434,USCF Funds Trust
435,921
436,USCF Funds Trust
437,922
438,Falcon Minerals Corp
439,925
440,"Concrete Pumping Holdings, Inc."
441,929
442,"American Virtual Cloud Technologies, Inc."
443,930
444,Tremont Mortgage Trust
445,934
446,"Virgin Galactic Holdings, Inc"
447,935
448,Draper Oakwood Technology Acquisition Inc.
449,936
450,"Krystal Biotech, Inc."
451,940
452,Oasis Midstream Partners LP
453,942
454,Sentinel Energy Services Inc.
455,960
456,"PARTS iD, Inc."
457,975
458,Big Rock Partners Acquisition Corp.
459,981
460,PermRock Royalty Trust
461,997
462,Trinity Merger Corp.
463,1010
464,Nikola Corp
465,1011
466,Trident Acquisitions Corp.
467,1019
468,"Hancock Jaffe Laboratories, Inc."
469,1020
470,Vertiv Holdings Co
471,1021
472,Far Point Acquisition Corp
473,1023
474,Repay Holdings Corp
475,1029
476,Landsea Homes Corp
477,1031
478,BPGIC INTERNATIONAL
479,1032
480,World Gold Trust
481,1042
482,HL Acquisitions Corp.
483,1051
484,New Frontier Health Corp
485,1053
486,Allegro Merger Corp.
487,1057
488,"Provention Bio, Inc."
489,1067
490,Greenland Technologies Holding Corp.
491,1069
492,"ADIAL PHARMACEUTICALS, INC."
493,1081
494,Tottenham Acquisition I Ltd
495,1083
496,Fisker Inc./DE
497,1088
498,Goldman Sachs Physical Gold ETF
499,1091
500,GLORY STAR NEW MEDIA GROUP HOLDINGS Ltd
501,1092
502,"REVIVA PHARMACEUTICALS HOLDINGS, INC."
503,1094
504,"BM Technologies, Inc."
505,1096
506,Longevity Acquisition Corp
507,1097
508,EdtechX Holdings Acquisition Corp.
509,1101
510,ARYA SCIENCES ACQUISITION CORP.
511,1102
512,"Utz Brands, Inc."
513,1103
514,"GRID DYNAMICS HOLDINGS, INC."
515,1104
516,"Equillium, Inc."
517,1108
518,"DD3 Acquisition Corp., S.A. de C.V."
519,1110
520,"Velodyne Lidar, Inc."
521,1111
522,Alberton Acquisition Corp
523,1119
524,"ATLAS TECHNICAL CONSULTANTS, INC."
525,1132
526,"ADVENT TECHNOLOGIES HOLDINGS, INC."
527,1133
528,Fintech Acquisition Corp. III
529,1134
530,Tiziana Life Sciences plc
531,1135
532,"Medalist Diversified REIT, Inc."
533,1138
534,Schultze Special Purpose Acquisition Corp.
535,1143
536,CF Finance Acquisition Corp.
537,1145
538,BiomX Inc.
539,1147
540,KLDiscovery Inc.
541,1155
542,Tuscan Holdings Corp.
543,1157
544,Crescent Acquisition Corp
545,1159
546,"Desktop Metal, Inc."
547,1161
548,"SHIFT TECHNOLOGIES, INC."
549,1163
550,8i Enterprises Acquisition Corp.
551,1166
552,"Golden Nugget Online Gaming, Inc."
553,1177
554,"Immunovant, Inc."
555,1190
556,DraftKings Inc.
557,1191
558,AGBA Acquisition Ltd
559,1192
560,Applied Therapeutics Inc.
561,1193
562,"Postal Realty Trust, Inc."
563,1194
564,GX Acquisition Corp.
565,1198
566,RATTLER MIDSTREAM LP
567,1201
568,PROFICIENT ALPHA ACQUISITION CORP
569,1202
570,SC Health Corp
571,1203
572,XL Fleet Corp.
573,1204
574,Tuscan Holdings Corp. II
575,1205
576,"Hims & Hers Health, Inc."
577,1209
578,Fellazo Inc.
579,1221
580,"ChargePoint Holdings, Inc."
581,1223
582,Netfin Acquisition Corp.
583,1227
584,Orisun Acquisition Corp.
585,1231
586,Silver Spike Acquisition Corp.
587,1234
588,"Thunder Bridge Acquisition II, LTD"
589,1235
590,Osprey Technology Acquisition Corp.
591,1239
592,FinServ Acquisition Corp.
593,1241
594,Merida Merger Corp. I
595,1243
596,LGL Systems Acquisition Corp.
597,1244
598,Stable Road Acquisition Corp.
599,1250
600,"Juniper Industrial Holdings, Inc."
601,1252
602,"CNS Pharmaceuticals, Inc."
603,1253
604,GreenVision Acquisition Corp.
605,1256
606,CuriosityStream Inc.
607,1257
608,Amplitude Healthcare Acquisition Corp
609,1258
610,"Porch Group, Inc."
611,1261
612,CHP Merger Corp.
613,1262
614,"Alpine Income Property Trust, Inc."
615,1263
616,Alussa Energy Acquisition Corp.
617,1264
618,Alpha Investment Inc.
619,1266
620,LIV Capital Acquisition Corp.
621,1267
622,"SOC Telemed, Inc."
623,1271
624,"Arrival Vault US, Inc."
625,1274
626,Monopar Therapeutics
627,1275
628,"Aeva Technologies, Inc."
629,1278
630,"NexPoint Real Estate Finance, Inc."
631,1284
632,Greenrose Acquisition Corp.
633,1286
634,CITIC Capital Acquisition Corp.
635,1287
636,Yunhong International
637,1289
638,"Muscle Maker, Inc."
639,1291
640,MultiPlan Corp
641,1293
642,Nuvve Holding Corp.
643,1294
644,East Stone Acquisition Corp
645,1295
646,"Rush Street Interactive, Inc."
647,1296
648,Collective Growth Corp
649,1299
650,"PURECYCLE TECHNOLOGIES, INC."
651,1302
652,Sustainable Opportunities Acquisition Corp.
653,1303
654,"Danimer Scientific, Inc."
655,1304
656,"GigCapital3, Inc."
657,1308
658,Jaws Acquisition Corp.
659,1309
660,"AppHarvest, Inc."
661,1311
662,"Eos Energy Enterprises, Inc."
663,1312
664,"Butterfly Network, Inc."
665,1313
666,Foley Trasimene Acquisition Corp.
667,1316
668,"Cerevel Therapeutics Holdings, Inc."
669,1324
670,"PLBY Group, Inc."
671,1326
672,Hudson Executive Investment Corp.
673,1328
674,Lantern Pharma Inc.
675,1330
676,Royalty Pharma plc
677,1336
678,Trebia Acquisition Corp.
679,1337
680,Brilliant Acquisition Corp
681,1342
682,Fusion Acquisition Corp.
683,1347
684,QuantumScape Corp
685,1349
686,"ADiTx Therapeutics, Inc."
687,1351
688,Nuvation Bio Inc.
689,1352
690,CAPSTAR SPECIAL PURPOSE ACQUISITION CORP.
691,1355
692,Therapeutics Acquisition Corp.
693,1358
694,PTK Acquisition Corp.
695,1363
696,Artius Acquisition Inc.
697,1364
698,D8 Holdings Corp.
699,1366
700,Malacca Straits Acquisition Co Ltd
701,1367
702,HPX Corp.
703,1369
704,Deerfield Healthcare Technology Acquisitions Corp.
705,1374
706,"Pershing Square Tontine Holdings, Ltd."
707,1376
708,Property Solutions Acquisition Corp.
709,1377
710,East Resources Acquisition Co
711,1381
712,Greencity Acquisition Corp
713,1384
714,Ascendant Digital Acquisition Corp.
715,1385
716,ACE Convergence Acquisition Corp.
717,1388
718,Churchill Capital Corp IV
719,1390
720,CC Neuberger Principal Holdings II
721,1395
722,NewHold Investment Corp.
723,1396
724,E.Merge Technology Acquisition Corp.
725,1398
726,Yucaipa Acquisition Corp
727,1400
728,Health Sciences Acquisitions Corp 2
729,1401
730,BowX Acquisition Corp.
731,1403
732,GO Acquisition Corp.
733,1404
734,Holicity Inc.
735,1405
736,Kismet Acquisition One Corp
737,1409
738,Gores Holdings V Inc.
739,1411
740,ARYA Sciences Acquisition Corp III
741,1414
742,Vistas Media Acquisition Co Inc.
743,1416
744,Fortress Value Acquisition Corp. II
745,1417
746,"Gemini Therapeutics, Inc. /DE"
747,1418
748,RedBall Acquisition Corp.
749,1421
750,Lionheart Acquisition Corp. II
751,1423
752,Dragoneer Growth Opportunities Corp.
753,1424
754,"dMY Technology Group, Inc. II"
755,1425
756,Northern Genesis Acquisition Corp.
757,1428
758,one
759,1429
760,Star Peak Energy Transition Corp.
761,1430
762,Foley Trasimene Acquisition II
763,1431
764,Forum Merger III Corp
765,1433
766,Horizon Acquisition Corp
767,1436
768,"Ouster, Inc."
769,1437
770,FAST Acquisition Corp.
771,1438
772,FTAC Olympus Acquisition Corp.
773,1440
774,Burgundy Technology Acquisition Corp
775,1442
776,"View, Inc."
777,1443
778,"Panbela Therapeutics, Inc."
779,1446
780,PAINREFORM LTD.
781,1448
782,"CM Life Sciences, Inc."
783,1449
784,"MetroMile, Inc."
785,1450
786,BCTG Acquisition Corp.
787,1451
788,Tailwind Acquisition Corp.
789,1452
790,HighCape Capital Acquisition Corp.
791,1453
792,"Industrial Tech Acquisitions, Inc."
793,1454
794,Cohn Robbins Holdings Corp.
795,1455
796,Prime Impact Acquisition I
797,1456
798,"NavSight Holdings, Inc."
799,1457
800,STARBOARD VALUE ACQUISITION CORP.
801,1458
802,TWC Tech Holdings II Corp.
803,1459
804,"Ribbit LEAP, Ltd."
805,1460
806,Broadstone Acquisition Corp.
807,1461
808,Tortoise Acquisition Corp. II
809,1462
810,Software Acquisition Group Inc. II
811,1464
812,Sandbridge Acquisition Corp
813,1465
814,Equity Distribution Acquisition Corp.
815,1467
816,Executive Network Partnering Corp
817,1468
818,Oaktree Acquisition Corp. II
819,1473
820,ACON S2 Acquisition Corp.
821,1475
822,Reinvent Technology Partners
823,1478
824,North Mountain Merger Corp.
825,1481
826,Alpha Healthcare Acquisition Corp.
827,1485
828,PMV Consumer Acquisition Corp.
829,1486
830,Falcon Capital Acquisition Corp.
831,1487
832,Aspirational Consumer Lifestyle Corp.
833,1490
834,ArcLight Clean Transition Corp.
835,1491
836,VPC Impact Acquisition Holdings
837,1492
838,PERIDOT ACQUISITION CORP.
839,1496
840,Vector Acquisition Corp
841,1499
842,FinTech Acquisition Corp. IV
843,1501
844,"Greenwich LifeSciences, Inc."
845,1502
846,Vesper Healthcare Acquisition Corp.
847,1509
848,Qell Acquisition Corp
849,1510
850,FG New America Acquisition Corp.
851,1512
852,Climate Change Crisis Real Impact I Acquisition Corp
853,1515
854,Roman DBDR Tech Acquisition Corp.
855,1516
856,TS Innovation Acquisitions Corp.
857,1517
858,Edoc Acquisition Corp.
859,1518
860,Natural Order Acquisition Corp.
861,1519
862,Northern Star Acquisition Corp.
863,1520
864,"dMY Technology Group, Inc. III"
865,1521
866,CF Finance Acquisition Corp. III
867,1522
868,Better World Acquisition Corp.
869,1523
870,Health Assurance Acquisition Corp.
871,1524
872,Pine Island Acquisition Corp.
873,1525
874,OTR Acquisition Corp.
875,1526
876,Dragoneer Growth Opportunities Corp. II
877,1527
878,Zanite Acquisition Corp.
879,1528
880,"Population Health Investment Co., Inc."
881,1529
882,Consonance-HFW Acquisition Corp.
883,1532
884,Reinvent Technology Partners Z
885,1533
886,Jiya Acquisition Corp.
887,1534
888,L&F Acquisition Corp.
889,1536
890,Investindustrial Acquisition Corp.
891,1537
892,Cascade Acquisition Corp
893,1539
894,Omnichannel Acquisition Corp.
895,1540
896,Lifesci Acquisition II Corp.
897,1541
898,Kingswood Acquisition Corp.
899,1544
900,Aequi Acquisition Corp.
901,1545
902,Breeze Holdings Acquisition Corp.
903,1546
904,10X Capital Venture Acquisition Corp
905,1547
906,Genesis Park Acquisition Corp.
907,1550
908,SPRING VALLEY ACQUISITION CORP.
909,1551
910,Tiga Acquisition Corp.
911,1552
912,Spartan Acquisition Corp. II
913,1554
914,Forest Road Acquisition Corp.
915,1555
916,"LIXTE BIOTECHNOLOGY HOLDINGS, INC."
917,1556
918,Seaport Global Acquisition Corp
919,1557
