,company_name,ticker,exchange,share_price,shares_offered,dollar_value_of_shares,date_of_priced,href,employees,shares_outstanding,stock_valuation,company_address,phone,sicdescription,ebit,grossprofit,netincome,totalrevenue,costofrevenue,totalassets,revenue_growth
11,DOLLAR GENERAL CORP,DG,New York Stock Exchange,21.0,"34,100,000","$716,100,000",2009-11-13,/market-activity/ipos/overview?dealId=1605-61859,77200,"340,644,825",7153541325.0,100 MISSION RIDGE   GOODLETTSVILLE TN 37072,6158554000,Retail-Variety Stores,255392000.0,2643469000.0,-12816000.0,9495246000.0,6851777000.0,8656431000.0,0.035488584184076855
12,"Fortinet, Inc.",FTNT,Nasdaq National Market,12.5,"12,500,000","$156,250,000",2009-11-18,/market-activity/ipos/overview?dealId=592969-61740,1196,"64,393,969",804924612.5,899 KIFER ROAD   SUNNYVALE CA 94086,408-235-7700,"Computer Peripheral Equipment, Not Elsewhere Classified",4927000.0,146319000.0,7363000.0,211791000.0,65472000.0,199105000.0,0.36317469716669026
13,Andatee China Marine Fuel Services Corp,AMCF,Nasdaq National Market,6.3,"3,134,921","$19,750,002",2010-01-26,/market-activity/ipos/overview?dealId=810870-61911,128,"9,134,921",57550002.3,NO. 68 BINHAI RD DALIAN XIGANG DISTRICT DALIAN INT'L FINANCE CONF CENTER C VILLA  XIGANG DISTRICT DALIAN  116013,041183688618,Wholesale-Petroleum Bulk Stations and Terminals,9495218.0,14076350.0,6417037.0,124277622.0,110201272.0,41625380.0,0.5694262590368916
14,Sensata Technologies Holding plc,ST,New York Stock Exchange,18.0,"31,600,000","$568,800,000",2010-03-11,/market-activity/ipos/overview?dealId=816487-62697,9500,"171,159,377",3080868786.0,"INTERFACE HOUSE, INTERFACE BUSINESS PARK BINCKNOLL LANE, ROYAL WOOTTON BASSETT  SWINDON  SN4 8SY",508-236-3800,"Industrial Instruments for Measurement, Display, and Control of Process Variables and Related Products",58489000.0,392864000.0,-27681000.0,1134944000.0,742080000.0,3166870000.0,-0.20223525731818326
15,"CALIX, INC",CALX,New York Stock Exchange,13.0,"6,328,932","$82,276,116",2010-03-24,/market-activity/ipos/overview?dealId=750845-62665,407,"36,297,532",471867916.0,2777 ORCHARD PARKWAY   SAN JOSE CA 95134,408-514-3000,"Communications Services, Not Elsewhere Classified",-19327000.0,76644000.0,-22441000.0,232947000.0,156303000.0,241116000.0,-0.06993448134055728
16,MAXLINEAR INC,MXL,New York Stock Exchange,14.0,"6,444,100","$90,217,400",2010-03-24,/market-activity/ipos/overview?dealId=632487-62514,177,"6,444,100",90217400.0,5966 LA PLACE CT.   CARLSBAD CA 92008,760-692-0711,Semiconductors and Related Devices,4592000.0,34303000.0,4329000.0,51350000.0,17047000.0,35773000.0,0.6389518368389135
17,Huazhu Group Ltd,HTHT,Nasdaq National Market,12.25,"9,000,000","$110,250,000",2010-03-26,/market-activity/ipos/overview?dealId=823166-63493,6181,"235,618,079",2886321467.75,NO. 699 WUZHONG ROAD MINHANG DISTRICT  SHANGHAI 201103  -,(86) 21 6195-2011,Hotels and Motels,11193000.0,37457000.0,6232000.0,184589000.0,147132000.0,231599753.0,0.6479594858495678
18,SS&C Technologies Holdings Inc,SSNC,Nasdaq National Market,15.0,"10,725,000","$160,875,000",2010-03-31,/market-activity/ipos/overview?dealId=747205-63008,1253,"69,191,228",1037868420.0,80 LAMBERTON RD .  WINDSOR CT 06095,860-298-4500,Services-Prepackaged Software,67103000.0,133175000.0,19018000.0,270915000.0,137740000.0,1185641000.0,-0.03246716141796961
19,SPS COMMERCE INC,SPSC,Nasdaq National Market,12.0,"4,096,694","$49,160,328",2010-04-22,/market-activity/ipos/overview?dealId=159725-62788,292,"10,920,939",131051268.0,333 SOUTH SEVENTH STREET SUITE 1000  MINNEAPOLIS MN 55402,612-435-9400,Services-Prepackaged Software,1881000.0,26031000.0,1162000.0,37746000.0,11715000.0,21919000.0,0.22963156008730495
20,"CODEXIS, INC.",CDXS,Nasdaq National Market,13.0,"6,000,000","$78,000,000",2010-04-22,/market-activity/ipos/overview?dealId=383247-63009,290,"33,977,068",441701884.0,200 PENOBSCOT DRIVE   REDWOOD CITY CA 94063,650-421-8100,Industrial Organic Chemicals,-18366000.0,66230000.0,-20289000.0,82908000.0,16678000.0,99036000.0,0.6424581005586593
21,ALPHA & OMEGA SEMICONDUCTOR Ltd,AOSL,Nasdaq National Market,18.0,"5,085,985","$91,547,730",2010-04-29,/market-activity/ipos/overview?dealId=732422-63753,855,"22,087,485",397574730.0,475 OAKMEAD PARKWAY   SUNNYVALE CA 94085,408-830-9742,Semiconductors and Related Devices,-1150000.0,38566000.0,-901000.0,185076000.0,146510000.0,160365000.0,-0.25381607063661654
22,"DOUGLAS DYNAMICS, INC",PLOW,New York Stock Exchange,11.25,"10,000,000","$112,500,000",2010-05-05,/market-activity/ipos/overview?dealId=631367-63238,562,"21,256,253",239132846.25,7777 NORTH 73RD ST   MILWAUKEE WI 53233,414-362-3940,Construction Machinery and Equipment,29439000.0,57078000.0,9843000.0,174342000.0,117264000.0,404619000.0,-0.032014124858418286
23,"TeleNav, Inc.",TNAV,Nasdaq National Market,8.0,"7,000,000","$56,000,000",2010-05-13,/market-activity/ipos/overview?dealId=814743-62458,878,"41,083,150",328665200.0,4655 GREAT AMERICA PARKWAY SUITE 300  SANTA CLARA CA 95054,(408) 245-3800,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical Systems and Instruments",42292000.0,90630000.0,29618000.0,110880000.0,20250000.0,72210000.0,1.306876105274108
24,"EXPRESS, INC.",EXPR,New York Stock Exchange,17.0,"16,000,000","$272,000,000",2010-05-13,/market-activity/ipos/overview?dealId=821458-63364,17000,"88,735,895",1508510215.0,1 EXPRESS DRIVE   COLUMBUS OH 43230,614-474-4001,Retail-Apparel and Accessory Stores,3914000.0,456992000.0,-17648000.0,1737010000.0,1280018000.0,860413000.0,-0.03303149838616837
25,"Roadrunner Transportation Systems, Inc.",RRTS,New York Stock Exchange,14.0,"10,600,644","$148,409,016",2010-05-13,/market-activity/ipos/overview?dealId=783787-58963,925,"29,542,563",413595882.0,4900 S. PENNSYLVANIA AVENUE   CUDAHY WI 53110,414-615-1500,Arrangement of Transportation of Freight and Cargo,13740000.0,104464000.0,-23000.0,483322000.0,378858000.0,333281000.0,-0.14593387252675794
26,"JinkoSolar Holding Co., Ltd.",JKS,New York Stock Exchange,11.0,"5,835,000","$64,185,000",2010-05-14,/market-activity/ipos/overview?dealId=819660-63161,2640,"86,927,850",956206350.0,1 JINGKE ROAD SHANGRAO ECONOMIC DEVELOPMENT ZONE  JIANGXI PROVINCE  334100,(86-793)846-9699,Semiconductors and Related Devices,17939451.0,33720824.0,12510566.0,229655719.0,195934895.0,293171000.0,-0.28240929804410236
27,"GenMark Diagnostics, Inc.",GNMK,Nasdaq National Market,6.0,"4,600,000","$27,600,000",2010-05-28,/market-activity/ipos/overview?dealId=824263-63652,63,"11,723,512",70341072.0,5964 LA PLACE COURT   CARLSBAD CA 92008,(760) 448-4300,Surgical and Medical Instruments and Apparatus,-20438000.0,-3333000.0,-19963000.0,999000.0,4332000.0,19333477.0,0.5438299345379018
28,"Cboe Global Markets, Inc.",CBOE,Nasdaq National Market,29.0,"11,700,000","$339,300,000",2010-06-15,/market-activity/ipos/overview?dealId=733051-63582,597,"13,917,911",403619419.0,400 SOUTH LASALLE   CHICAGO IL 60605,312 786 7200,"Security and Commodity Brokers, Dealers, Exchanges and Services",177585000.0,395356000.0,106451000.0,426082000.0,30726000.0,571948000.0,0.022311370665310245
29,Oasis Petroleum Inc.,OAS,New York Stock Exchange,14.0,"42,000,000","$588,000,000",2010-06-17,/market-activity/ipos/overview?dealId=823087-63482,35,"92,215,295",1291014130.0,1001 FANNIN STREET SUITE 1500  HOUSTON TX 77002,281-404-9500,Crude Petroleum and Natural Gas,-11010000.0,29064000.0,-15209000.0,37755000.0,8691000.0,239553000.0,0.08691271303546752
30,Fabrinet,FN,New York Stock Exchange,10.0,"8,500,000","$85,000,000",2010-06-25,/market-activity/ipos/overview?dealId=761699-62666,5400,"33,743,709",337437090.0,"5/6 MOO 6,  SOI KHUNPRA, PHAHOLYOTHIN RD KLONGNUENG, KLONGLUANG  PATUMTHANEE  12120",662-524-9600,Telephone and Telegraph Apparatus,33692000.0,58041000.0,31304000.0,441099000.0,383058000.0,288085000.0,-0.1369580784898395
31,"Tesla, Inc.",TSLA,Nasdaq National Market,17.0,"13,300,000","$226,100,000",2010-06-29,/market-activity/ipos/overview?dealId=665410-63240,646,"93,109,393",1582859681.0,3500 DEER CREEK RD   PALO ALTO CA 94304,650-681-5000,Motor Vehicles and Passenger Car Bodies,-51897000.0,9535000.0,-55740000.0,111943000.0,102408000.0,130424000.0,6.59347442680776
32,"Ameresco, Inc.",AMRC,New York Stock Exchange,10.0,"8,696,820","$86,968,200",2010-07-22,/market-activity/ipos/overview?dealId=825041-63751,649,"22,403,276",224032760.0,111 SPEEN STREET   FRAMINGHAM MA 01701,508-661-2200,Construction-Special Trade Contractors,25293852.0,79700056.0,19907148.0,428516589.0,348816533.0,375544608.0,0.08251244741968819
33,"ENVESTNET, INC.",ENV,New York Stock Exchange,9.0,"7,000,000","$63,000,000",2010-07-29,/market-activity/ipos/overview?dealId=684332-63706,450,"30,795,117",277156053.0,35 E WACKER DR STE 2400   CHICAGO IL 60601,312-827-2800,"Services-Business Services, Not Elsewhere Classified",704000.0,53300000.0,-872000.0,77924000.0,24624000.0,74064000.0,-0.15154286709784195
34,Ambow Education Holding Ltd.,AMBO,New York Stock Exchange,10.0,"10,677,207","$106,772,070",2010-08-05,/market-activity/ipos/overview?dealId=832935-64691,10361,"21,354,414",213544140.0,"12TH FLOOR, NO. 1 FINANCIAL STREET CHANG AN CENTER, SHIJINGSHAN DISTRICT  BEIJING  100043",86 (10) 6206-8000,Services-Educational Services,14465000.0,55643000.0,20248000.0,107912000.0,52269000.0,537922000.0,0.44832769635475384
35,NXP Semiconductors N.V.,NXPI,Nasdaq National Market,14.0,"34,000,000","$476,000,000",2010-08-06,/market-activity/ipos/overview?dealId=757890-63906,27539,"249,251,500",3489521000.0,None,--,Semiconductors and Related Devices,-931000000.0,898000000.0,-153000000.0,3519000000.0,2621000000.0,8579000000.0,-0.3105407523510972
36,"RealPage, Inc.",RP,Nasdaq National Market,11.0,"12,300,000","$135,300,000",2010-08-12,/market-activity/ipos/overview?dealId=630471-64014,1260,"62,305,404",685359444.0,2201 LAKESIDE BLVD   RICHARDSON TX 75082,972-820-3915,Services-Prepackaged Software,6929000.0,82389000.0,28429000.0,140902000.0,58513000.0,142113000.0,0.2517056357046408
37,MakeMyTrip Ltd,MMYT,Nasdaq National Market,14.0,"5,000,000","$70,000,000",2010-08-12,/market-activity/ipos/overview?dealId=833644-64779,757,"34,134,002",477876028.0,"19TH FLOOR, BUILDING NO.5, DLF CYBER CITY,  GURGAON  122002",91 124 439 5000,Transportation services,-10617630.0,24990733.0,-7348216.0,68551701.0,43560968.0,37898160.0,0.7884176027580864
38,"Electromed, Inc.",ELMD,Nasdaq SmallCap Market,4.0,"1,700,000","$6,800,000",2010-08-13,/market-activity/ipos/overview?dealId=827620-64045,70,"7,887,885",31551540.0,500 SIXTH AVENUE NW   NEW PRAGUE MN 56071,952-758-9299,Electromedical and Electrotherapeutic Apparatus,2455609.0,9658586.0,1332906.0,12998627.0,3340041.0,11461098.0,0.4851960020241932
39,Whitestone REIT,WSR,American Stock Exchange,12.0,"2,200,000","$26,400,000",2010-08-26,/market-activity/ipos/overview?dealId=112973-62494,52,"2,200,000",26400000.0,2600 SOUTH GESSNER SUITE 500  HOUSTON TX 77063,713-827-9595,Real Estate Investment Trusts,8206000.0,19694000.0,1342000.0,32685000.0,12991000.0,182000000.0,0.04756257812249608
40,"American Assets Trust, Inc.",AAT,New York Stock Exchange,20.5,"27,500,000","$563,750,000",2011-01-13,/market-activity/ipos/overview?dealId=837016-65140,100,"35,034,840",718214220.0,11455 EL CAMINO REAL SUITE 200  SAN DIEGO CA 92130,(858) 350-2600,Real Estate Investment Trusts,42422000.0,85540000.0,0.0,117748000.0,32208000.0,1117357000.0,0.0458493951290569
41,"TIBET PHARMACEUTICALS, INC.",TBET,Nasdaq National Market,5.5,"3,000,000","$16,500,000",2011-01-25,/market-activity/ipos/overview?dealId=828647-64188,226,"14,812,500",81468750.0,"90 JAFFE ROAD ROOM 1701, 17/F  WANCHAI  00000",852 9798 5569,Pharmaceutical Preparations,13315052.0,16175443.0,13142085.0,32364975.0,16189532.0,28196274.0,0.40668164955097635
42,Nielsen Holdings plc,NLSN,New York Stock Exchange,23.0,"71,428,572","$1,642,857,156",2011-01-26,/market-activity/ipos/overview?dealId=829744-64361,34000,"347,629,277",7995473371.0,85 BROAD STREET   NEW YORK NY 10004,6466545000,"Services-Business Services, Not Elsewhere Classified",730000000.0,2997000000.0,130000000.0,5126000000.0,2129000000.0,14429000000.0,0.06613976705490848
43,Adecoagro S.A.,AGRO,New York Stock Exchange,11.0,"28,571,428","$314,285,708",2011-01-28,/market-activity/ipos/overview?dealId=845500-66160,5757,"115,846,386",1274310246.0,13-15 Avenue de la Liberte   N/A  L-1931,352 2689-8213,Agricultural Production-Crops,-38067000.0,52799000.0,-44791000.0,426267000.0,373468000.0,1320444000.0,0.3592567673140882
44,"HCA Healthcare, Inc.",HCA,New York Stock Exchange,30.0,"126,200,000","$3,786,000,000",2011-03-10,/market-activity/ipos/overview?dealId=10298-66010,194000,"515,205,100",15456153000.0,ONE PARK PLZ   NASHVILLE TN 37203,6153449551,"Services-General Medical and Surgical Hospitals, Not Elsewhere Classified",4042000000.0,23074000000.0,1207000000.0,28035000000.0,4961000000.0,23852000000.0,0.047019719151478935
45,MagnaChip Semiconductor CORP,MX,New York Stock Exchange,14.0,"9,500,000","$133,000,000",2011-03-11,/market-activity/ipos/overview?dealId=672432-63611,3337,"39,351,985",550927790.0,"C/O MAGNACHIP SEMICONDUCTOR S.A. 74, RUE DE MERL  LUXEMBOURG  L-2146",(352) 45-62-62,Semiconductors and Related Devices,91391000.0,243558000.0,74120000.0,770405000.0,526847000.0,625744000.0,0.37556109458528103
46,Cornerstone OnDemand Inc,CSOD,Nasdaq National Market,13.0,"10,500,000","$136,500,000",2011-03-17,/market-activity/ipos/overview?dealId=746404-65285,327,"46,636,370",606272810.0,1601 CLOVERFIELD BLVD SUITE 620  SANTA MONICA CA 90404,310-752-0200,Services-Prepackaged Software,-12840000.0,29451000.0,-48370000.0,43731000.0,14280000.0,42894000.0,0.4914057704112953
47,"SERVICESOURCE INTERNATIONAL, INC.",SREV,Nasdaq National Market,10.0,"11,940,133","$119,401,330",2011-03-25,/market-activity/ipos/overview?dealId=656414-65973,1536,"65,506,343",655063430.0,707 17TH STREET SUITE 2500  DENVER CO 80202,7208898500,"Services-Business Services, Not Elsewhere Classified",1202000.0,62887000.0,-2567000.0,152935000.0,90048000.0,108103000.0,0.38182623152264267
48,"Groupon, Inc.",GRPN,Nasdaq National Market,20.0,"35,000,000","$700,000,000",2011-11-04,/market-activity/ipos/overview?dealId=826818-67316,2416,"635,403,352",12708067040.0,"600 WEST CHICAGO AVENUE, SUITE 400   CHICAGO IL 60654",(312) 334-1579,Services-Advertising Agencies,-420344000.0,270045000.0,-389640000.0,312941000.0,42896000.0,381570000.0,20.522764786795047
49,"Manning & Napier, Inc.",MN,New York Stock Exchange,12.0,"12,500,000","$150,000,000",2011-11-18,/market-activity/ipos/overview?dealId=859058-67574,450,"12,500,000",150000000.0,290 WOODCLIFF DRIVE   FAIRPORT NY 14450,5853256880,Investment Advice,114942000.0,230188000.0,0.0,255472000.0,25284000.0,68342000.0,0.5705889585638756
50,"Laredo Petroleum, Inc.",LPI,New York Stock Exchange,17.0,"17,500,000","$297,500,000",2011-12-15,/market-activity/ipos/overview?dealId=862471-67993,183,"125,000,000",2125000000.0,15 W. SIXTH STREET SUITE 900  TULSA OK 74119,918-513-4570,Crude Petroleum and Natural Gas,72982000.0,217475000.0,86248000.0,242000000.0,24525000.0,1068160000.0,1.505850435935138
51,"Bonanza Creek Energy, Inc.",BCEI,New York Stock Exchange,17.0,"10,000,000","$170,000,000",2011-12-15,/market-activity/ipos/overview?dealId=844878-67357,71,"39,555,481",672443177.0,"410 17TH STREET, SUITE 1500   DENVER CO 80202",720-440-6100,Crude Petroleum and Natural Gas,6887993.0,32759251.0,14621956.0,45126276.0,12367025.0,516103547.0,0.3102314818134996
52,ZYNGA INC,ZNGA,Nasdaq National Market,10.0,"100,000,000","$1,000,000,000",2011-12-16,/market-activity/ipos/overview?dealId=782377-67565,2789,"100,000,000",1000000000.0,699 EIGHTH STREET   SAN FRANCISCO CA 94103,800-762-2530,Services-Computer Processing and Data Preparation,125472000.0,421407000.0,90595000.0,597459000.0,176052000.0,1112572000.0,3.918693966262442
53,"Renewable Energy Group, Inc.",REGI,Nasdaq National Market,10.0,"7,200,000","$72,000,000",2012-01-19,/market-activity/ipos/overview?dealId=804642-67691,234,"7,200,000",72000000.0,416 S. BELL AVENUE   AMES IA 50010,515-239-8000,Industrial Organic Chemicals,92732000.0,127211000.0,88869000.0,824031000.0,696820000.0,484447000.0,2.806939086646185
54,"Guidewire Software, Inc.",GWRE,New York Stock Exchange,13.0,"8,850,000","$115,050,000",2012-01-25,/market-activity/ipos/overview?dealId=863116-68084,684,"48,892,951",635608363.0,"2850 S. DELAWARE ST., SUITE 400   SAN MATEO CA 94403",650-357-9100,Services-Prepackaged Software,6871000.0,104128000.0,35558000.0,172472000.0,68344000.0,126540000.0,0.19200226689980718
55,YELP INC,YELP,New York Stock Exchange,15.0,"7,150,000","$107,250,000",2012-03-02,/market-activity/ipos/overview?dealId=691649-68649,918,"7,150,000",107250000.0,140 NEW MONTGOMERY STREET 9TH FLOOR  SAN FRANCISCO CA 94105,(415) 908-3801,Services-Personal Services,-16171000.0,77354000.0,-16668000.0,83285000.0,5931000.0,43821000.0,0.7448827805828497
56,Allison Transmission Holdings Inc,ALSN,New York Stock Exchange,23.0,"26,100,000","$600,300,000",2012-03-15,/market-activity/ipos/overview?dealId=755761-66605,2800,"181,375,783",4171643009.0,ONE ALLISON WAY   Indianapolis IN 46222,(317) 242-5000,Motor Vehicle Parts and Accessories,429000000.0,954500000.0,103000000.0,2162800000.0,1208300000.0,5192600000.0,0.12277423038986658
57,"MACOM Technology Solutions Holdings, Inc.",MTSI,Nasdaq National Market,19.0,"6,000,000","$114,000,000",2012-03-15,/market-activity/ipos/overview?dealId=830087-67811,667,"45,259,684",859933996.0,100 CHELMSFORD STREET   LOWELL MA 01851,(978) 656-2500,Semiconductors and Related Devices,45927000.0,131860000.0,-1016000.0,310295000.0,178435000.0,211268000.0,0.19208058487035962
58,Caesarstone Ltd.,CSTE,Nasdaq National Market,11.0,"6,660,000","$73,260,000",2012-03-22,/market-activity/ipos/overview?dealId=874824-69235,838,"33,366,250",367028750.0,Kibbutz Sdot Yam   MP Menashe  38805,972 4 636 4555,Cut Stone and Stone Products,37746000.0,104294000.0,29052000.0,259671000.0,155377000.0,246317000.0,0.30625128904226046
59,"ExactTarget, Inc.",ET,New York Stock Exchange,19.0,"8,500,000","$161,500,000",2012-03-22,/market-activity/ipos/overview?dealId=764866-68688,1133,"64,476,784",1225058896.0,20 NORTH MERIDIAN STREET   INDIANAPOLIS IN 46204,317-423-3928,Natural Gas Transmission,1237000000.0,3021000000.0,310000000.0,8190000000.0,5169000000.0,20897000000.0,0.2492373398413667
60,Vipshop Holdings Ltd,VIPS,New York Stock Exchange,6.5,"11,004,600","$71,529,900",2012-03-23,/market-activity/ipos/overview?dealId=874928-69246,2934,"101,138,565",657400672.5,"VIPSHOP HEADQUARTERS, 128 DINGXIN ROAD HAIZHU DISTRICT,  Guangzhou  510220",86 (20) 2233-0000,Retail-Catalog and Mail-Order Houses,-106917828.0,43341542.0,-107271525.0,227142876.0,183801334.0,167435320.0,5.9713975289817744
61,"VOCERA COMMUNICATIONS, INC.",VCRA,New York Stock Exchange,16.0,"5,850,000","$93,600,000",2012-03-28,/market-activity/ipos/overview?dealId=113414-67808,290,"21,740,372",347845952.0,525 RACE STREET SUITE 150  SAN JOSE CA 95126-3495,408-882-5100,"Communications Equipment, Not Elsewhere Classified",-806000.0,47996000.0,-2479000.0,79503000.0,31507000.0,49818000.0,0.39962678027568965
62,Rexnord Corp,RXN,New York Stock Exchange,18.0,"23,684,211","$426,315,798",2012-03-29,/market-activity/ipos/overview?dealId=783169-67254,7400,"90,524,593",1629442674.0,511 WEST FRESHWATER WAY   MILWAUKEE WI 53204,414-643-3000,General Industrial Machinery And Equipment,217200000.0,592500000.0,-51300000.0,1674900000.0,1082400000.0,3099700000.0,0.10920529801324504
63,"Enphase Energy, Inc.",ENPH,Nasdaq National Market,6.0,"8,969,697","$53,818,182",2012-03-30,/market-activity/ipos/overview?dealId=804337-67429,313,"39,290,870",235745220.0,47281 BAYSIDE PARKWAY   FREMONT CA 94538,(707) 763-4784,Semiconductors and Related Devices,-28712000.0,29069000.0,-32290000.0,149523000.0,120454000.0,106242000.0,1.4249201277955272
64,GasLog Ltd.,GLOG,New York Stock Exchange,14.0,"23,500,000","$329,000,000",2012-03-30,/market-activity/ipos/overview?dealId=872099-69045,72,"62,863,166",880084324.0,C/O GASLOG SERVICES UK LTD 81 KINGS ROAD  LONDON  SW3 4NX,44 0 203 388 3109,Water transportation,24700879.0,53524758.0,13722678.0,66470819.0,12946061.0,607012704.0,0.6687884396237045
65,"SUPERNUS PHARMACEUTICALS, INC.",SUPN,Nasdaq National Market,5.0,"10,000,000","$50,000,000",2012-05-01,/market-activity/ipos/overview?dealId=702676-66013,71,"23,912,319",119561595.0,9715 KEY WEST AVENUE   ROCKVILLE MD 20850,301-838-2500,Pharmaceutical Preparations,-37752000.0,803000.0,53815000.0,803000.0,0.0,53730000.0,6.5754716981132075
66,Facebook Inc,FB,Nasdaq Global Market,38.0,"421,233,615","$16,006,877,370",2012-05-18,/market-activity/ipos/overview?dealId=673740-69138,3539,"633,492,418",24072711884.0,1601 WILLOW ROAD   MENLO PARK CA 94025,650-618-7714,"Services-Computer Programming, Data Processing, Etc.",1756000000.0,2851000000.0,1000000000.0,3711000000.0,860000000.0,6331000000.0,0.8799392097264438
67,"ServiceNow, Inc.",NOW,New York Stock Exchange,18.0,"11,650,000","$209,700,000",2012-06-29,/market-activity/ipos/overview?dealId=719285-69544,728,"120,289,770",2165215860.0,2225 LAWSON LANE   SANTA CLARA CA 95054,408-501-8550,Services-Prepackaged Software,10560000.0,61066000.0,9830000.0,92641000.0,31575000.0,108746000.0,1.138083039073138
68,"FIVE BELOW, INC",FIVE,Nasdaq National Market,17.0,"9,615,384","$163,461,528",2012-07-19,/market-activity/ipos/overview?dealId=373747-69679,2960,"53,964,948",917404116.0,701 MARKET STREET SUITE 300  PHILADELPHIA PA 19106,215 546 7909,Retail-Variety Stores,11804000.0,66143000.0,7023000.0,197189000.0,131046000.0,76582000.0,0.0
