,company_name,ticker,exchange,share_price,shares_offered,dollar_value_of_shares,date_of_priced,href
404,PLY GEM HOLDINGS INC,PGEM,New York Stock Exchange,21.0,"15,789,474","$331,578,954",2013-05-23,/market-activity/ipos/overview?dealId=629230-64322
405,CHANNELADVISOR CORP,ECOM,New York Stock Exchange,14.0,"5,750,000","$80,500,000",2013-05-23,/market-activity/ipos/overview?dealId=103169-72248
406,"GLOBAL BRASS & COPPER HOLDINGS, INC.",BRSS,New York Stock Exchange,11.0,"7,000,000","$77,000,000",2013-05-23,/market-activity/ipos/overview?dealId=866793-68488
407,CONSTELLIUM SE,CSTM,New York Stock Exchange,15.0,"22,222,222","$333,333,330",2013-05-23,/market-activity/ipos/overview?dealId=906378-72498
408,KAMADA LTD,KMDA,Nasdaq National Market,9.25,"5,582,636","$51,639,383",2013-05-31,/market-activity/ipos/overview?dealId=904222-72250
409,"Saleen Automotive, INC.",SLNN,OTCBB,0.55,"2,000,000","$1,100,000",2013-05-31,/market-activity/ipos/overview?dealId=862316-67967
410,"Epizyme, Inc.",EPZM,Nasdaq National Market,15.0,"5,142,000","$77,130,000",2013-05-31,/market-activity/ipos/overview?dealId=904612-72294
411,"Clearway Energy, Inc.",NYLD,New York Stock Exchange,22.0,"19,575,000","$430,650,000",2013-07-17,/market-activity/ipos/overview?dealId=908223-72706
412,"UCP, Inc.",UCP,New York Stock Exchange,15.0,"7,750,000","$116,250,000",2013-07-18,/market-activity/ipos/overview?dealId=903649-72191
413,OncoMed Pharmaceuticals Inc,OMED,Nasdaq National Market,17.0,"4,800,000","$81,600,000",2013-07-18,/market-activity/ipos/overview?dealId=648784-69878
414,"Rexford Industrial Realty, Inc.",REXR,New York Stock Exchange,14.0,"16,000,000","$224,000,000",2013-07-19,/market-activity/ipos/overview?dealId=907299-72599
415,"RetailMeNot, Inc.",SALE,Nasdaq National Market,21.0,"9,090,908","$190,909,068",2013-07-19,/market-activity/ipos/overview?dealId=816861-72821
416,"Vislink Technologies, Inc.",XGTI,Nasdaq SmallCap Market,5.5,"1,337,792","$7,357,856",2013-07-19,/market-activity/ipos/overview?dealId=901272-71944
417,Physicians Realty Trust,DOC,New York Stock Exchange,11.5,"10,434,782","$119,999,993",2013-07-19,/market-activity/ipos/overview?dealId=907406-72614
418,"Diamond Resorts International, Inc.",DRII,New York Stock Exchange,14.0,"15,500,000","$217,000,000",2013-07-19,/market-activity/ipos/overview?dealId=908692-72784
419,PHILLIPS 66 PARTNERS LP,PSXP,New York Stock Exchange,23.0,"16,425,000","$377,775,000",2013-07-23,/market-activity/ipos/overview?dealId=903039-72110
420,"AGIOS PHARMACEUTICALS, INC.",AGIO,Nasdaq National Market,18.0,"5,888,888","$105,999,984",2013-07-24,/market-activity/ipos/overview?dealId=782125-72746
421,"HEAT BIOLOGICS, INC.",HTBX,Nasdaq SmallCap Market,10.0,"2,500,000","$25,000,000",2013-07-24,/market-activity/ipos/overview?dealId=816009-72434
422,AENZA S.A.A.,GRAM,New York Stock Exchange,21.13,"19,534,884","$412,772,099",2013-07-24,/market-activity/ipos/overview?dealId=907957-72680
423,"Jones Energy, Inc.",JONE,New York Stock Exchange,15.0,"12,500,000","$187,500,000",2013-07-24,/market-activity/ipos/overview?dealId=907504-72629
424,Histogen Inc.,CNAT,Nasdaq National Market,11.0,"6,000,000","$66,000,000",2013-07-25,/market-activity/ipos/overview?dealId=729017-72783
425,"CELLULAR DYNAMICS INTERNATIONAL, INC.",ICEL,Nasdaq National Market,12.0,"3,846,000","$46,152,000",2013-07-25,/market-activity/ipos/overview?dealId=820046-72672
426,"Onconova Therapeutics, Inc.",ONTX,Nasdaq National Market,15.0,"5,166,667","$77,500,005",2013-07-25,/market-activity/ipos/overview?dealId=152644-72798
427,"WCI Communities, Inc.",WCIC,New York Stock Exchange,15.0,"6,819,091","$102,286,365",2013-07-25,/market-activity/ipos/overview?dealId=907415-72617
428,Silver Eagle Acquisition Corp.,EAGLU,Nasdaq SmallCap Market,10.0,"30,000,000","$300,000,000",2013-07-25,/market-activity/ipos/overview?dealId=909251-72854
429,"Liquid Holdings Group, Inc.",LIQD,Nasdaq National Market,9.0,"3,175,000","$28,575,000",2013-07-26,/market-activity/ipos/overview?dealId=904117-72244
430,"AZURE MIDSTREAM PARTNERS, LP",FISH,Nasdaq National Market,20.0,"6,875,000","$137,500,000",2013-07-26,/market-activity/ipos/overview?dealId=909732-72901
431,"Sprouts Farmers Market, Inc.",SFM,Nasdaq National Market,18.0,"18,500,000","$333,000,000",2013-08-01,/market-activity/ipos/overview?dealId=906187-72471
432,Ardmore Shipping Corp,ASC,New York Stock Exchange,14.0,"10,000,000","$140,000,000",2013-08-01,/market-activity/ipos/overview?dealId=909839-72916
433,American Homes 4 Rent,AMH,New York Stock Exchange,16.0,"44,117,647","$705,882,352",2013-08-01,/market-activity/ipos/overview?dealId=894390-72686
434,MARRONE BIO INNOVATIONS INC,MBII,Nasdaq National Market,12.0,"4,750,000","$57,000,000",2013-08-02,/market-activity/ipos/overview?dealId=784445-72928
435,CONTROL4 CORP,CTRL,Nasdaq National Market,16.0,"4,000,000","$64,000,000",2013-08-02,/market-activity/ipos/overview?dealId=425045-72923
436,Athlon Energy Inc.,ATHL,New York Stock Exchange,20.0,"15,789,474","$315,789,480",2013-08-02,/market-activity/ipos/overview?dealId=908050-72689
437,Yume Inc,YUME,New York Stock Exchange,9.0,"5,125,000","$46,125,000",2013-08-07,/market-activity/ipos/overview?dealId=761925-72940
438,"PRECIGEN, INC.",XON,New York Stock Exchange,16.0,"9,999,999","$159,999,984",2013-08-08,/market-activity/ipos/overview?dealId=702326-72988
439,FOX FACTORY HOLDING CORP,FOXF,Nasdaq National Market,15.0,"8,571,429","$128,571,435",2013-08-08,/market-activity/ipos/overview?dealId=768346-72980
440,"BMC STOCK HOLDINGS, INC.",STCK,Nasdaq National Market,14.0,"7,000,000","$98,000,000",2013-08-09,/market-activity/ipos/overview?dealId=908837-72803
441,Andeavor Midstream Partners LP,QEPM,New York Stock Exchange,21.0,"20,000,000","$420,000,000",2013-08-09,/market-activity/ipos/overview?dealId=906174-72469
442,"World Point Terminals, LP",WPT,New York Stock Exchange,20.0,"8,750,000","$175,000,000",2013-08-09,/market-activity/ipos/overview?dealId=908931-72820
443,CVENT INC,CVT,New York Stock Exchange,21.0,"5,600,000","$117,600,000",2013-08-09,/market-activity/ipos/overview?dealId=164595-72974
444,FRANK'S INTERNATIONAL N.V.,FI,New York Stock Exchange,22.0,"30,000,000","$660,000,000",2013-08-09,/market-activity/ipos/overview?dealId=906328-72486
445,"Jason Industries, Inc.",QPACU,Nasdaq SmallCap Market,10.0,"15,000,000","$150,000,000",2013-08-09,/market-activity/ipos/overview?dealId=909057-72839
446,MiX Telematics Ltd,MIXT,New York Stock Exchange,16.0,"6,296,098","$100,737,568",2013-08-09,/market-activity/ipos/overview?dealId=910131-72957
447,"TD Holdings, Inc.",CCCR,Nasdaq SmallCap Market,6.5,"1,370,000","$8,905,000",2013-08-13,/market-activity/ipos/overview?dealId=908291-72725
448,iSHARES COMMODITY OPTIMIZED TRUST,CMDT,New York Stock Exchange,51.15,"20,000,000","$1,023,000,000",2013-08-13,/market-activity/ipos/overview?dealId=869351-68774
449,"INDEPENDENCE REALTY TRUST, INC.",IRT,American Stock Exchange,8.5,"4,000,000","$34,000,000",2013-08-13,/market-activity/ipos/overview?dealId=807025-72506
450,"Envision Healthcare Holdings, Inc.",EVHC,New York Stock Exchange,23.0,"42,000,000","$966,000,000",2013-08-14,/market-activity/ipos/overview?dealId=908664-72781
451,SiriusPoint Ltd,TPRE,New York Stock Exchange,12.5,"22,053,286","$275,666,075",2013-08-15,/market-activity/ipos/overview?dealId=910805-73028
452,SOPHIRIS BIO INC.,SPHS,Nasdaq National Market,5.0,"13,000,000","$65,000,000",2013-08-16,/market-activity/ipos/overview?dealId=899343-71844
453,"Tobira Therapeutics, Inc.",RGDO,Nasdaq SmallCap Market,4.0,"10,750,000","$43,000,000",2013-08-22,/market-activity/ipos/overview?dealId=657932-72374
454,Ciner Resources LP,OCIR,New York Stock Exchange,19.0,"5,000,000","$95,000,000",2013-09-13,/market-activity/ipos/overview?dealId=910259-72975
455,ROI Acquisition Corp. II,ROIQU,Nasdaq SmallCap Market,10.0,"12,500,000","$125,000,000",2013-09-17,/market-activity/ipos/overview?dealId=913819-73291
456,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",VLRS,New York Stock Exchange,12.0,"22,646,900","$271,762,800",2013-09-18,/market-activity/ipos/overview?dealId=908127-72696
457,"Benefitfocus, Inc.",BNFT,Nasdaq National Market,26.5,"4,935,000","$130,777,500",2013-09-18,/market-activity/ipos/overview?dealId=913349-73249
458,"FIVE PRIME THERAPEUTICS, INC.",FPRX,Nasdaq National Market,13.0,"4,800,000","$62,400,000",2013-09-18,/market-activity/ipos/overview?dealId=112806-73103
459,ACCELERON PHARMA INC,XLRN,Nasdaq National Market,15.0,"5,580,000","$83,700,000",2013-09-19,/market-activity/ipos/overview?dealId=623083-73173
460,"ClubCorp Holdings, Inc.",MYCC,New York Stock Exchange,14.0,"18,000,000","$252,000,000",2013-09-20,/market-activity/ipos/overview?dealId=910644-73010
461,Rocket Fuel Inc.,FUEL,Nasdaq National Market,29.0,"4,000,000","$116,000,000",2013-09-20,/market-activity/ipos/overview?dealId=817197-73280
462,"DNIB UNWIND, INC.",BIND,Nasdaq National Market,15.0,"4,700,000","$70,500,000",2013-09-20,/market-activity/ipos/overview?dealId=730401-73227
463,"FireEye, Inc.",FEYE,Nasdaq National Market,20.0,"15,175,000","$303,500,000",2013-09-20,/market-activity/ipos/overview?dealId=716732-73149
464,"Foundation Medicine, Inc.",FMI,Nasdaq National Market,18.0,"5,888,888","$105,999,984",2013-09-25,/market-activity/ipos/overview?dealId=826061-73119
465,"IVERIC bio, Inc.",OPHT,Nasdaq National Market,22.0,"7,600,000","$167,200,000",2013-09-25,/market-activity/ipos/overview?dealId=755588-73261
466,Evoke Pharma Inc,EVOK,Nasdaq SmallCap Market,12.0,"2,100,000","$25,200,000",2013-09-25,/market-activity/ipos/overview?dealId=747936-72602
467,"Premier, Inc.",PINC,Nasdaq National Market,27.0,"28,151,958","$760,102,866",2013-09-26,/market-activity/ipos/overview?dealId=914165-73339
468,MONTAGE TECHNOLOGY GROUP LTD,MONT,Nasdaq National Market,10.0,"7,100,000","$71,000,000",2013-09-26,/market-activity/ipos/overview?dealId=720916-73305
469,"APPLIED OPTOELECTRONICS, INC.",AAOI,Nasdaq National Market,10.0,"3,600,000","$36,000,000",2013-09-26,/market-activity/ipos/overview?dealId=134164-73239
470,Covisint Corp,COVS,Nasdaq National Market,10.0,"6,400,000","$64,000,000",2013-09-26,/market-activity/ipos/overview?dealId=906562-72518
471,Enzymotec Ltd.,ENZY,Nasdaq National Market,14.0,"4,412,000","$61,768,000",2013-09-27,/market-activity/ipos/overview?dealId=914028-73320
472,Pattern Energy Group Inc.,PEGI,Nasdaq National Market,22.0,"16,000,000","$352,000,000",2013-09-27,/market-activity/ipos/overview?dealId=913105-73208
473,"RingCentral, Inc.",RNG,New York Stock Exchange,13.0,"7,500,000","$97,500,000",2013-09-27,/market-activity/ipos/overview?dealId=730508-73332
474,Violin Memory Inc,VMEM,New York Stock Exchange,9.0,"18,000,000","$162,000,000",2013-09-27,/market-activity/ipos/overview?dealId=751490-73336
475,FATE THERAPEUTICS INC,FATE,Nasdaq National Market,6.0,"6,666,667","$40,000,002",2013-10-01,/market-activity/ipos/overview?dealId=777517-73244
476,"RE/MAX Holdings, Inc.",RMAX,New York Stock Exchange,22.0,"10,000,000","$220,000,000",2013-10-02,/market-activity/ipos/overview?dealId=913756-73282
477,"Empire State Realty Trust, Inc.",ESRT,New York Stock Exchange,13.0,"71,500,000","$929,500,000",2013-10-02,/market-activity/ipos/overview?dealId=874148-69200
478,"Burlington Stores, Inc.",BURL,New York Stock Exchange,17.0,"13,333,333","$226,666,661",2013-10-02,/market-activity/ipos/overview?dealId=909685-72895
479,POTBELLY CORP,PBPB,Nasdaq National Market,14.0,"7,500,000","$105,000,000",2013-10-04,/market-activity/ipos/overview?dealId=381367-73366
480,OCI Partners LP,OCIP,New York Stock Exchange,18.0,"17,500,000","$315,000,000",2013-10-04,/market-activity/ipos/overview?dealId=908804-72795
481,Cherry Hill Mortgage Investment Corp,CHMI,New York Stock Exchange,20.0,"6,500,000","$130,000,000",2013-10-04,/market-activity/ipos/overview?dealId=905372-72378
482,LDR HOLDING CORP,LDRH,Nasdaq National Market,15.0,"5,000,000","$75,000,000",2013-10-09,/market-activity/ipos/overview?dealId=694850-73340
483,"SFX Entertainment, INC",SFXE,Nasdaq National Market,13.0,"20,000,000","$260,000,000",2013-10-09,/market-activity/ipos/overview?dealId=885264-72880
484,"QTS Realty Trust, Inc.",QTS,New York Stock Exchange,21.0,"12,250,000","$257,250,000",2013-10-09,/market-activity/ipos/overview?dealId=913694-73271
485,STONEGATE MORTGAGE CORP,SGM,New York Stock Exchange,16.0,"7,100,000","$113,600,000",2013-10-10,/market-activity/ipos/overview?dealId=796164-73434
486,ANTERO RESOURCES Corp,AR,New York Stock Exchange,44.0,"35,725,000","$1,571,900,000",2013-10-10,/market-activity/ipos/overview?dealId=776600-72777
487,"Western Refining Logistics, LP",WNRL,New York Stock Exchange,22.0,"13,750,000","$302,500,000",2013-10-10,/market-activity/ipos/overview?dealId=911530-73094
488,MACROGENICS INC,MGNX,Nasdaq National Market,16.0,"5,000,000","$80,000,000",2013-10-10,/market-activity/ipos/overview?dealId=179294-73414
489,PLAINS GP HOLDINGS LP,PAGP,New York Stock Exchange,22.0,"128,000,000","$2,816,000,000",2013-10-16,/market-activity/ipos/overview?dealId=911782-73118
490,VEEVA SYSTEMS INC,VEEV,New York Stock Exchange,20.0,"13,045,000","$260,900,000",2013-10-16,/market-activity/ipos/overview?dealId=737944-73466
491,"OneMain Holdings, Inc.",LEAF,New York Stock Exchange,17.0,"21,045,148","$357,767,516",2013-10-16,/market-activity/ipos/overview?dealId=913653-73266
492,"ABENGOA, S.A.",ABGB,Nasdaq National Market,12.18,"50,000,000","$609,000,000",2013-10-17,/market-activity/ipos/overview?dealId=92193-73663
493,voxeljet AG,VJET,New York Stock Exchange,13.0,"6,500,000","$84,500,000",2013-10-18,/market-activity/ipos/overview?dealId=915787-73505
494,"STG Group, Inc.",GDEF,Nasdaq SmallCap Market,10.0,"6,000,000","$60,000,000",2013-10-24,/market-activity/ipos/overview?dealId=915709-73501
495,"Endurance International Group Holdings, Inc.",EIGI,Nasdaq National Market,12.0,"21,051,000","$252,612,000",2013-10-25,/market-activity/ipos/overview?dealId=409100-73448
496,"CommScope Holding Company, Inc.",COMM,Nasdaq National Market,15.0,"38,461,537","$576,923,055",2013-10-25,/market-activity/ipos/overview?dealId=852007-73151
497,Sprague Resources LP,SRLP,New York Stock Exchange,18.0,"8,500,000","$153,000,000",2013-10-25,/market-activity/ipos/overview?dealId=860835-67776
498,AERIE PHARMACEUTICALS INC,AERI,Nasdaq National Market,10.0,"6,720,000","$67,200,000",2013-10-25,/market-activity/ipos/overview?dealId=684178-73508
499,Quartet Merger Corp.,QTETU,Nasdaq SmallCap Market,10.0,"8,400,000","$84,000,000",2013-10-29,/market-activity/ipos/overview?dealId=915476-73482
500,Criteo S.A.,CRTO,Nasdaq National Market,31.0,"8,082,580","$250,559,980",2013-10-30,/market-activity/ipos/overview?dealId=915813-73513
501,Brixmor Property Group Inc.,BRX,New York Stock Exchange,20.0,"41,250,000","$825,000,000",2013-10-30,/market-activity/ipos/overview?dealId=911024-73051
502,"VERACYTE, INC.",VCYT,Nasdaq National Market,13.0,"5,000,000","$65,000,000",2013-10-30,/market-activity/ipos/overview?dealId=729484-73535
503,"Surgical Care Affiliates, Inc.",SCAI,Nasdaq National Market,24.0,"9,777,778","$234,666,672",2013-10-30,/market-activity/ipos/overview?dealId=756012-73416
504,58.com Inc.,WUBA,New York Stock Exchange,17.0,"11,000,000","$187,000,000",2013-10-31,/market-activity/ipos/overview?dealId=916607-73589
505,"Marcus & Millichap, Inc.",MMI,New York Stock Exchange,12.0,"6,000,000","$72,000,000",2013-10-31,/market-activity/ipos/overview?dealId=916221-73551
506,Essent group Ltd.,ESNT,New York Stock Exchange,17.0,"19,710,118","$335,072,006",2013-10-31,/market-activity/ipos/overview?dealId=791462-73499
507,"Container Store Group, Inc.",TCS,New York Stock Exchange,18.0,"12,500,000","$225,000,000",2013-11-01,/market-activity/ipos/overview?dealId=756081-73610
508,Qunar Cayman Islands Ltd.,QUNR,Nasdaq National Market,15.0,"11,111,000","$166,665,000",2013-11-01,/market-activity/ipos/overview?dealId=916707-73607
509,Blue Capital Reinsurance Holdings Ltd.,BCRH,New York Stock Exchange,20.0,"6,250,000","$125,000,000",2013-11-06,/market-activity/ipos/overview?dealId=917215-73671
510,Karyopharm Therapeutics Inc.,KPTI,Nasdaq National Market,16.0,"6,800,000","$108,800,000",2013-11-06,/market-activity/ipos/overview?dealId=840732-73668
511,Avianca Holdings S.A.,AVH,New York Stock Exchange,15.0,"27,234,910","$408,523,650",2013-11-06,/market-activity/ipos/overview?dealId=915952-73527
512,Wix.com Ltd.,WIX,Nasdaq National Market,16.5,"7,700,000","$127,050,000",2013-11-06,/market-activity/ipos/overview?dealId=916877-73633
513,BARRACUDA NETWORKS INC,CUDA,New York Stock Exchange,18.0,"4,140,000","$74,520,000",2013-11-06,/market-activity/ipos/overview?dealId=694838-73636
514,DarioHealth Corp.,DRIO,OTCBB,2.3,"9,430,162","$21,689,373",2013-11-06,/market-activity/ipos/overview?dealId=866973-71601
515,Zenith Energy Logistics Partners LP,ARCX,New York Stock Exchange,19.0,"6,000,000","$114,000,000",2013-11-06,/market-activity/ipos/overview?dealId=917000-73643
516,MAVENIR SYSTEMS INC,MVNR,New York Stock Exchange,10.0,"5,450,000","$54,500,000",2013-11-07,/market-activity/ipos/overview?dealId=707316-73658
517,"Midcoast Energy Partners, L.P.",MEP,New York Stock Exchange,18.0,"18,500,000","$333,000,000",2013-11-07,/market-activity/ipos/overview?dealId=908798-72791
518,"Norcraft Companies, Inc.",NCFT,New York Stock Exchange,16.0,"6,397,073","$102,353,168",2013-11-07,/market-activity/ipos/overview?dealId=917286-73678
519,"TWITTER, INC.",TWTR,New York Stock Exchange,26.0,"70,000,000","$1,820,000,000",2013-11-07,/market-activity/ipos/overview?dealId=763922-73652
520,"LGI Homes, Inc.",LGIH,Nasdaq National Market,11.0,"9,000,000","$99,000,000",2013-11-07,/market-activity/ipos/overview?dealId=914262-73351
521,J.G. Wentworth Co,JGW,New York Stock Exchange,14.0,"9,750,000","$136,500,000",2013-11-08,/market-activity/ipos/overview?dealId=917221-73672
522,"NMI Holdings, Inc.",NMIH,Nasdaq National Market,13.0,"2,103,395","$27,344,135",2013-11-08,/market-activity/ipos/overview?dealId=880154-73694
523,Eros STX Global Corp,EROS,New York Stock Exchange,11.0,"5,000,000","$55,000,000",2013-11-13,/market-activity/ipos/overview?dealId=878575-69538
524,Dynagas LNG Partners LP,DLNG,Nasdaq National Market,18.0,"12,500,000","$225,000,000",2013-11-13,/market-activity/ipos/overview?dealId=917529-73702
525,"CHEGG, INC",CHGG,New York Stock Exchange,12.5,"15,000,000","$187,500,000",2013-11-13,/market-activity/ipos/overview?dealId=711152-73250
526,"ESH Hospitality, Inc.",STAY,New York Stock Exchange,20.0,"28,250,000","$565,000,000",2013-11-13,/market-activity/ipos/overview?dealId=843701-73067
527,"Del Taco Restaurants, Inc.",LEVYU,Nasdaq SmallCap Market,10.0,"15,000,000","$150,000,000",2013-11-14,/market-activity/ipos/overview?dealId=917214-73670
528,TANDEM DIABETES CARE INC,TNDM,Nasdaq National Market,15.0,"8,000,000","$120,000,000",2013-11-14,/market-activity/ipos/overview?dealId=781334-73675
529,Houghton Mifflin Harcourt Co,HMHC,Nasdaq National Market,12.0,"18,250,000","$219,000,000",2013-11-14,/market-activity/ipos/overview?dealId=912184-73152
530,"Zulily, Inc.",ZU,Nasdaq National Market,22.0,"11,500,000","$253,000,000",2013-11-15,/market-activity/ipos/overview?dealId=817798-73687
531,Relypsa Inc,RLYP,Nasdaq National Market,11.0,"6,850,000","$75,350,000",2013-11-15,/market-activity/ipos/overview?dealId=760791-73595
532,Navigator Holdings Ltd.,NVGS,New York Stock Exchange,19.0,"12,000,000","$228,000,000",2013-11-21,/market-activity/ipos/overview?dealId=918065-73758
533,Evogene Ltd.,EVGN,New York Stock Exchange,14.75,"5,000,000","$73,750,000",2013-11-21,/market-activity/ipos/overview?dealId=916214-73550
534,Sungy Mobile Ltd,GOMO,Nasdaq National Market,11.22,"7,000,000","$78,540,000",2013-11-22,/market-activity/ipos/overview?dealId=918355-73782
535,Ideal Power Inc.,IPWR,Nasdaq SmallCap Market,5.0,"3,000,000","$15,000,000",2013-11-22,/market-activity/ipos/overview?dealId=843917-73172
536,Oxford Immunotec Global PLC,OXFD,Nasdaq National Market,12.0,"5,360,000","$64,320,000",2013-11-22,/market-activity/ipos/overview?dealId=917842-73741
537,VINCE HOLDING CORP.,VNCE,New York Stock Exchange,20.0,"10,000,000","$200,000,000",2013-11-22,/market-activity/ipos/overview?dealId=916301-73562
538,500.com Ltd,WBAI,New York Stock Exchange,13.0,"5,786,000","$75,218,000",2013-11-22,/market-activity/ipos/overview?dealId=918353-73781
539,Xencor Inc,XNCR,Nasdaq National Market,5.5,"12,730,000","$70,015,000",2013-12-03,/market-activity/ipos/overview?dealId=673726-73719
540,Kofax Ltd,KFX,Nasdaq National Market,5.85,"2,000,000","$11,700,000",2013-12-05,/market-activity/ipos/overview?dealId=917125-73653
541,VALERO ENERGY PARTNERS LP,VLP,New York Stock Exchange,23.0,"15,000,000","$345,000,000",2013-12-11,/market-activity/ipos/overview?dealId=915953-73528
542,Autohome Inc.,ATHM,New York Stock Exchange,17.0,"7,820,000","$132,940,000",2013-12-11,/market-activity/ipos/overview?dealId=919265-73861
543,Hilton Worldwide Holdings Inc.,HLT,New York Stock Exchange,20.0,"117,640,624","$2,352,812,480",2013-12-12,/market-activity/ipos/overview?dealId=915398-73473
544,"Kindred Biosciences, Inc.",KIN,Nasdaq SmallCap Market,7.0,"7,500,000","$52,500,000",2013-12-12,/market-activity/ipos/overview?dealId=893304-73922
545,ENETI INC.,SALT,New York Stock Exchange,9.75,"31,300,000","$305,175,000",2013-12-12,/market-activity/ipos/overview?dealId=919824-73924
546,TETRALOGIC PHARMACEUTICALS Corp,TLOG,Nasdaq National Market,7.0,"7,150,000","$50,050,000",2013-12-12,/market-activity/ipos/overview?dealId=707137-73772
547,"CatchMark Timber Trust, Inc.",CTT,New York Stock Exchange,13.5,"10,526,316","$142,105,266",2013-12-12,/market-activity/ipos/overview?dealId=690618-73554
548,Aramark,ARMK,New York Stock Exchange,20.0,"36,250,000","$725,000,000",2013-12-12,/market-activity/ipos/overview?dealId=914974-73445
549,"Cheniere Energy Partners LP Holdings, LLC",CQH,American Stock Exchange,20.0,"36,000,000","$720,000,000",2013-12-13,/market-activity/ipos/overview?dealId=916159-73543
550,Fidelity & Guaranty Life,FGL,New York Stock Exchange,17.0,"9,750,000","$165,750,000",2013-12-13,/market-activity/ipos/overview?dealId=914332-73360
551,Nimble Storage Inc,NMBL,New York Stock Exchange,21.0,"8,000,000","$168,000,000",2013-12-13,/market-activity/ipos/overview?dealId=794687-73761
552,ABILITY INC,CAMBU,Nasdaq SmallCap Market,10.0,"7,000,000","$70,000,000",2013-12-18,/market-activity/ipos/overview?dealId=918445-73793
553,"AMC ENTERTAINMENT HOLDINGS, INC.",AMC,New York Stock Exchange,18.0,"18,421,053","$331,578,954",2013-12-18,/market-activity/ipos/overview?dealId=756645-73371
554,"Arista Networks, Inc.",ANET,New York Stock Exchange,43.0,"5,250,000","$225,750,000",2014-06-06,/market-activity/ipos/overview?dealId=931003-75019
555,"Radius Health, Inc.",RDUS,Nasdaq National Market,8.0,"6,500,000","$52,000,000",2014-06-06,/market-activity/ipos/overview?dealId=775825-74728
556,"Nexeo Solutions, Inc.",WLRHU,Nasdaq SmallCap Market,10.0,"43,500,000","$435,000,000",2014-06-06,/market-activity/ipos/overview?dealId=934480-75393
557,Trinseo S.A.,TSE,New York Stock Exchange,19.0,"10,000,000","$190,000,000",2014-06-12,/market-activity/ipos/overview?dealId=858520-74892
558,HERMITAGE OFFSHORE SERVICES LTD.,NAO,New York Stock Exchange,16.0,"5,882,352","$94,117,632",2014-06-12,/market-activity/ipos/overview?dealId=929883-74904
559,Zhaopin Ltd,ZPIN,New York Stock Exchange,13.5,"5,610,000","$75,735,000",2014-06-12,/market-activity/ipos/overview?dealId=724055-75339
560,"MOBILEIRON, INC.",MOBL,Nasdaq National Market,9.0,"11,111,111","$99,999,999",2014-06-12,/market-activity/ipos/overview?dealId=810198-75094
561,"Range Resources - Louisiana, Inc.",MRD,Nasdaq National Market,19.0,"42,800,000","$813,200,000",2014-06-13,/market-activity/ipos/overview?dealId=931571-75079
562,Atlantica Sustainable Infrastructure plc,ABY,Nasdaq National Market,29.0,"24,850,000","$720,650,000",2014-06-13,/market-activity/ipos/overview?dealId=931221-75035
563,ASPEN AEROGELS INC,ASPN,New York Stock Exchange,11.0,"7,500,000","$82,500,000",2014-06-13,/market-activity/ipos/overview?dealId=97015-75261
564,"Century Communities, Inc.",CCS,New York Stock Exchange,23.0,"4,480,000","$103,040,000",2014-06-18,/market-activity/ipos/overview?dealId=906555-75324
565,Foresight Energy LP,FELP,New York Stock Exchange,20.0,"17,500,000","$350,000,000",2014-06-18,/market-activity/ipos/overview?dealId=873272-69146
566,"ZS Pharma, Inc.",ZSPH,Nasdaq National Market,18.0,"5,944,444","$106,999,992",2014-06-18,/market-activity/ipos/overview?dealId=801589-75444
567,Viper Energy Partners LP,VNOM,Nasdaq National Market,26.0,"5,000,000","$130,000,000",2014-06-18,/market-activity/ipos/overview?dealId=934229-75361
568,Parnell Pharmaceuticals Holdings Ltd,PARN,Nasdaq National Market,10.0,"5,000,000","$50,000,000",2014-06-18,/market-activity/ipos/overview?dealId=935098-75473
569,"Viridian Therapeutics, Inc.\DE",SGNL,Nasdaq SmallCap Market,10.0,"850,000","$8,500,000",2014-06-18,/market-activity/ipos/overview?dealId=930051-74924
570,"Larimar Therapeutics, Inc.",ZFGN,Nasdaq National Market,16.0,"6,000,000","$96,000,000",2014-06-19,/market-activity/ipos/overview?dealId=720058-75203
571,IHS Markit Ltd.,MRKT,Nasdaq National Market,24.0,"53,472,353","$1,283,336,472",2014-06-19,/market-activity/ipos/overview?dealId=933992-75333
572,"ARDELYX, INC.",ARDX,Nasdaq National Market,14.0,"4,286,000","$60,004,000",2014-06-19,/market-activity/ipos/overview?dealId=780538-75487
573,Montage Resources Corp,ECR,New York Stock Exchange,27.0,"30,300,000","$818,100,000",2014-06-20,/market-activity/ipos/overview?dealId=933962-75326
574,"Kite Pharma, Inc.",KITE,Nasdaq National Market,17.0,"7,500,000","$127,500,000",2014-06-20,/market-activity/ipos/overview?dealId=849731-75483
575,Xunlei Ltd,XNET,Nasdaq National Market,12.0,"7,315,000","$87,780,000",2014-06-24,/market-activity/ipos/overview?dealId=857196-75531
576,"Amphastar Pharmaceuticals, Inc.",AMPH,Nasdaq National Market,7.0,"8,000,000","$56,000,000",2014-06-25,/market-activity/ipos/overview?dealId=663987-75489
577,MATERIALISE NV,MTLS,Nasdaq National Market,12.0,"8,000,000","$96,000,000",2014-06-25,/market-activity/ipos/overview?dealId=217520-75043
578,Adeptus Health Inc.,ADPT,New York Stock Exchange,22.0,"4,900,000","$107,800,000",2014-06-25,/market-activity/ipos/overview?dealId=935353-75509
